arm,group,long,short,sharpe,ann_ret_pct,ann_vol_pct,days_in_market_pct,max_dd,sh_05-10,sh_11-15,sh_16-20,sh_21-26,placebo_pctile,placebo_p95,mean_bps_per_event,t_per_event,n_events
all21rp:post1,fomc_event,1,-,-0.506,-0.68,1.34,3.2,-0.17,-0.24,-1.3,-0.81,-0.21,16.0,0.091,,,
TLTvsSPY:post12_rev,fomc_event,-,"1,2",-0.51,-3.9,7.66,6.4,-0.653,-0.52,-0.24,-1.13,-0.14,2.0,0.275,,,
GLD:pre_ann_rev,fomc_event,-,"-1,0",-0.515,-2.34,4.54,6.4,-0.502,-0.77,-0.08,-1.29,-0.14,10.0,0.09,,,
bondVsEq:post12_rev,fomc_event,-,"1,2",-0.516,-3.33,6.45,6.4,-0.582,-0.42,-0.29,-1.13,-0.26,0.0,0.288,,,
eq13ew:ann_rev,fomc_event,-,0,-0.517,-1.96,3.8,3.2,-0.41,-1.17,-0.72,0.14,-0.05,10.0,0.07,,,
crypto2:preann_fade_rev,fomc_event,"1,2","-1,0",-0.52,-11.1,21.35,8.8,-0.628,,,-0.66,-0.49,14.0,0.443,,,
bondVsEq:post1_rev,fomc_event,-,1,-0.53,-2.49,4.7,3.2,-0.481,-0.46,-0.62,-0.86,-0.22,2.0,0.204,,,
eq13ew:pre_ann_rev,fomc_event,-,"-1,0",-0.535,-2.92,5.47,6.4,-0.528,-0.95,-0.45,-0.44,-0.02,12.0,0.011,,,
xasset8rp:post1,fomc_event,1,-,-0.538,-1.05,1.96,3.2,-0.244,-0.12,-1.23,-0.83,-0.29,4.0,0.202,,,
TLTvsSPY:post1_rev,fomc_event,-,1,-0.539,-2.9,5.38,3.2,-0.525,-0.54,-0.6,-0.9,-0.13,4.0,0.18,,,
eq15rp:ann_rev,fomc_event,-,0,-0.548,-1.98,3.61,3.2,-0.4,-1.24,-0.7,0.08,-0.08,10.0,0.092,,,
eq15rp:pre_ann_rev,fomc_event,-,"-1,0",-0.551,-2.88,5.23,6.4,-0.521,-0.97,-0.43,-0.5,-0.03,8.0,0.058,,,
GLD:preann_fade_rev,fomc_event,"1,2","-1,0",-0.552,-4.31,7.81,12.7,-0.673,-0.32,-0.77,-0.75,-0.55,2.0,0.183,,,
TLTvsSPY:preann_fade,fomc_event,"-1,0","1,2",-0.555,-5.97,10.75,12.7,-0.812,-0.84,-0.33,-0.99,0.04,6.0,0.144,,,
eq15ew:pre_ann_rev,fomc_event,-,"-1,0",-0.555,-3.06,5.51,6.4,-0.542,-0.96,-0.43,-0.49,-0.06,4.0,0.06,,,
eq15ew:ann_rev,fomc_event,-,0,-0.559,-2.14,3.83,3.2,-0.424,-1.22,-0.7,0.08,-0.14,9.0,0.041,,,
SPY:pre_ann_rev,fomc_event,-,"-1,0",-0.579,-3.17,5.48,6.4,-0.551,-0.95,-0.45,-0.56,-0.14,4.0,0.093,,,
eqUS4ew:ann_rev,fomc_event,-,0,-0.585,-2.32,3.97,3.2,-0.445,-1.21,-0.71,0.04,-0.25,6.0,0.089,,,
SPY:ann_rev,fomc_event,-,0,-0.593,-2.22,3.74,3.2,-0.432,-1.21,-0.76,0.05,-0.18,5.0,0.1,,,
eqUS4ew:pre_ann_rev,fomc_event,-,"-1,0",-0.596,-3.37,5.66,6.4,-0.575,-0.99,-0.47,-0.57,-0.16,4.0,0.022,,,
HYG:preann_fade_rev,fomc_event,"1,2","-1,0",-0.598,-2.89,4.83,12.8,-0.495,-0.17,-0.72,-1.05,-1.05,8.0,0.178,,,
bond3rp:ann_fade_rev,fomc_event,1,0,-0.6,-1.51,2.52,6.4,-0.3,-0.34,-0.46,-0.78,-0.87,32.0,-0.116,,,
bondVsEq:preann_fade,fomc_event,"-1,0","1,2",-0.627,-5.77,9.2,12.7,-0.784,-0.81,-0.43,-1.08,-0.12,2.0,0.113,,,
eq13ew:preann_fade_rev,fomc_event,"1,2","-1,0",-0.632,-4.65,7.35,12.7,-0.704,-0.92,-0.44,-0.84,-0.17,0.0,0.223,,,
bond3rp:ann_rev,fomc_event,-,0,-0.646,-1.24,1.92,3.2,-0.258,-0.44,-0.28,-0.84,-1.03,12.0,-0.052,,,
bond3rp:pre1_rev,fomc_event,-,-1,-0.659,-0.96,1.46,3.2,-0.193,-0.95,-1.12,-0.19,-0.68,11.0,-0.039,,,
eq15rp:preann_fade_rev,fomc_event,"1,2","-1,0",-0.663,-4.67,7.04,12.7,-0.696,-0.92,-0.47,-0.9,-0.23,0.0,0.139,,,
eq15ew:preann_fade_rev,fomc_event,"1,2","-1,0",-0.664,-4.92,7.41,12.7,-0.718,-0.92,-0.47,-0.9,-0.25,1.0,0.199,,,
eq13ew:ann_fade_rev,fomc_event,1,0,-0.668,-3.59,5.36,6.4,-0.613,-1.03,-1.04,-0.37,-0.08,3.0,0.142,,,
BTC:ann_fade_rev,fomc_event,1,0,-0.672,-10.78,16.03,4.4,-0.621,,,-0.97,-0.61,12.0,0.632,,,
