sleeve,sharpe,sortino,mc_p5,max_dd,months_in_profit,psr_gt0,ann_funding_%,ann_price_%,turnover,n_obs,family,signal,lb,top,rb
XScarry_lvl1_top20_rb5,1.0727688874094823,1.4787631715523313,0.410859392089394,-0.24163174477475124,0.5822784810126582,0.9975839939777252,22.591887030395682,65.58348948896469,1046.4040196989113,2404,carry_xs,level,1,0.2,5
XScarry_lvl14_top30_rb5,1.0298504161481719,1.7221276094241469,0.49189551660944975,-0.37954377988333643,0.5949367088607594,0.9987593953333833,21.691435696895166,11.117857167512717,356.1768736539331,2404,carry_xs,level,14,0.3,5
XScarry_lvl3_top20_rb1,1.0158503106293282,1.5277653998504996,0.35264486360049485,-0.29102776540780173,0.6329113924050633,0.9960242954296773,29.04937266601299,45.83503892612436,2010.515674323956,2404,carry_xs,level,3,0.2,1
XScarry_lvl3_top30_rb5,1.0155755125478187,1.5166748783226116,0.3404577943101175,-0.3128681205027576,0.6455696202531646,0.9959483658500782,21.951416460208254,12.590872624251483,693.1116871328327,2404,carry_xs,level,3,0.3,5
XScarry_lvl7_top30_rb3,0.967171640552139,1.4589752127354616,0.36248852520181196,-0.3026592194531684,0.6075949367088608,0.9947627674130914,22.85223220862305,9.65930731250498,658.2411639627179,2404,carry_xs,level,7,0.3,3
XScarry_lvl3_top20_rb3,0.957904330631986,1.3792588026922643,0.3527557988717119,-0.30847476816169517,0.5949367088607594,0.9933810278931076,26.749472575999274,27.855832701824447,1187.1852991435808,2404,carry_xs,level,3,0.2,3
XScarry_lvl7_top40_rb1,0.9569580615180223,1.4719262316563704,0.2842145851791974,-0.42025707257670863,0.6582278481012658,0.9937661501600017,19.44204278984496,7.466069682736645,834.4654337282112,2404,carry_xs,level,7,0.4,1
XScarry_lvl7_top10_rb5,0.9536511090927129,1.4097718652485736,0.3448375408552527,-0.2543858759509159,0.6075949367088608,0.9943559498689628,29.527249571339436,21.75756895939804,728.8333333333333,2404,carry_xs,level,7,0.1,5
XScarry_lvl1_top10_rb5,0.9469662739567237,1.1131345471834875,0.2897467272733366,-0.334111914836441,0.5443037974683544,0.9925187199528994,22.558896878624914,57.17312978431626,1005.4881673881673,2404,carry_xs,level,1,0.1,5
XScarry_lvl14_top30_rb1,0.9360877147886356,1.3448578178282884,0.31345827951360744,-0.385657988712492,0.620253164556962,0.9929839566550934,23.61331175968302,9.685576486502034,623.755310251511,2404,carry_xs,level,14,0.3,1
XScarry_lvl7_top30_rb5,0.9347507307263148,1.3953192182420668,0.30779252820307074,-0.3180506954912401,0.5949367088607594,0.9923413192144692,22.05873208272548,10.030638285576572,504.7358428222441,2404,carry_xs,level,7,0.3,5
XScarry_lvl7_top10_rb3,0.9098803894489375,1.3675980393455247,0.26225220866971416,-0.28287598724348784,0.6075949367088608,0.9924621909790843,30.12571020270779,22.12638686211298,933.8523809523809,2404,carry_xs,level,7,0.1,3
XScarry_lvl3_top10_rb3,0.9028795661400885,1.337650296465744,0.3124205636883346,-0.27295533823556273,0.5949367088607594,0.9903587458450536,30.03522043320161,25.59080813165856,1338.9523809523807,2404,carry_xs,level,3,0.1,3
XScarry_lvl7_top40_rb3,0.8713657807998221,1.3386871984343995,0.23473684037346684,-0.4223888522025778,0.5949367088607594,0.9884878738829658,18.38900151716689,1.5399018661070212,549.2777048048655,2404,carry_xs,level,7,0.4,3
XScarry_lvl3_top10_rb1,0.8644736228063684,1.2452666600750495,0.1981384497105005,-0.26601200992349805,0.6329113924050633,0.9877808410220953,32.95673684429721,42.55731634846908,2290.0142857142855,2404,carry_xs,level,3,0.1,1
XScarry_lvl14_top30_rb3,0.8630515384516475,1.2152747191939215,0.27101158622094235,-0.38106116385768973,0.5822784810126582,0.9879390501709538,22.443973013132705,5.990800077898663,439.26852752547995,2404,carry_xs,level,14,0.3,3
XScarry_lvl14_top40_rb1,0.8605266953550758,1.3115224135195276,0.22321334014678865,-0.46540060501975145,0.6582278481012658,0.9875360884511019,19.31407389862025,-7.309001306317825,539.2533767809734,2404,carry_xs,level,14,0.4,1
XScarry_lvl7_top40_rb5,0.8266232674665095,1.2376019969591467,0.18957438702630805,-0.4072250371551478,0.6455696202531646,0.9842184311091036,17.893142667625725,4.1171270978264864,420.86609976208103,2404,carry_xs,level,7,0.4,5
XSmomentum_14,0.8188254652484042,1.1915135581518144,0.11022705853558974,-0.2185057871154562,0.5443037974683544,0.9821514992761978,0.8704154831461893,42.73438812389359,1769.6887640137638,2404,control,XSmomentum_14,14,0.3,1
XScarry_resid_top30,0.8095173511210173,1.2410353522341027,0.16330401319623208,-0.29899143592097654,0.6075949367088608,0.9829474821483131,18.370387818128222,34.59158807798919,1460.2856116106116,2404,carry_xs,resid,7,0.3,1
XScarry_lvl1_top30_rb5,0.7787504727050286,1.1050512707336466,0.09280224785556748,-0.37926830094960384,0.5443037974683544,0.9794750125421448,19.882694758874127,20.95257138303211,913.450277620836,2404,carry_xs,level,1,0.3,5
XScarry_lvl3_top30_rb3,0.7719982475890359,1.090009166788576,0.20100559216725591,-0.35926178473742987,0.620253164556962,0.9764496628334897,22.935703818845308,-0.7090452439819105,965.8811224655751,2404,carry_xs,level,3,0.3,3
XScarry_lvl7_top10_rb1,0.7641174434661586,1.1019647068906844,0.10163493352759735,-0.2999678567033257,0.6075949367088608,0.9772087271093256,33.04958197939447,11.561964691152435,1449.7619047619048,2404,carry_xs,level,7,0.1,1
XScarry_lvl30_top40_rb1,0.7547923708900303,1.1395616252166798,0.11397177157573328,-0.4702278308276172,0.6075949367088608,0.974907661253298,18.968124157362652,-16.021476293439235,318.15462891245556,2404,carry_xs,level,30,0.4,1
XScarry_lvl3_top30_rb1,0.6903012909487972,1.0491026381347155,0.04615748270886552,-0.3348117281025752,0.5822784810126582,0.9631175692596498,24.311895481000434,3.2211558711356982,1675.7761518170287,2404,carry_xs,level,3,0.3,1
XScarry_lvl14_top40_rb5,0.6778884537157758,0.9964870266752104,0.038794587680368774,-0.4415611505967407,0.6075949367088608,0.9606178664832536,17.759568821516847,-7.661691082130318,300.99279967781104,2404,carry_xs,level,14,0.4,5
XScarry_lvl30_top30_rb1,0.6764898456886844,0.86304899089005,-0.13168112480910463,-0.4599043553335058,0.569620253164557,0.9554634319436451,22.311729122012693,-0.39945233884506554,389.92398863382164,2404,carry_xs,level,30,0.3,1
XScarry_lvl1_top20_rb3,0.6698823324969736,0.882968890159357,0.07910098604924497,-0.29185874934340805,0.5189873417721519,0.9572742779507093,24.92269796119106,42.76835257949432,1645.1021422420029,2404,carry_xs,level,1,0.2,3
XScarry_lvl30_top30_rb5,0.6339747860098276,0.7836056741381823,-0.16861015255793627,-0.41116754353929985,0.5443037974683544,0.9432821656738339,20.853079766751385,-3.230261128728463,244.15793135350611,2404,carry_xs,level,30,0.3,5
XScarry_lvl14_top40_rb3,0.6218025015652654,0.9057222732452438,-0.03386424597071998,-0.46766811435178646,0.5949367088607594,0.9462911644086827,18.33137608296049,-12.794008236879536,372.9460300373375,2404,carry_xs,level,14,0.4,3
XScarry_lvl30_top20_rb3,0.6110562488801935,0.7303523360880146,-0.0356885123977806,-0.3454620295927344,0.5569620253164557,0.9324268089064173,24.910720228453425,17.385090376128794,340.2845985284066,2404,carry_xs,level,30,0.2,3
XScarry_lvl30_top30_rb3,0.5647014807873189,0.6828581795397108,-0.03681030063177265,-0.45238538003821727,0.5569620253164557,0.9189733532898312,21.81785430970827,-4.4264284724200955,288.76010818424334,2404,carry_xs,level,30,0.3,3
XScarry_lvl3_top40_rb1,0.5463322951324489,0.8330773827562978,-0.12138758921825872,-0.38605206345539367,0.569620253164557,0.9212589379135334,19.61064017954803,0.6898338715557549,1353.7721375518172,2404,carry_xs,level,3,0.4,1
XScarry_lvl30_top40_rb3,0.5379345349807129,0.7993084450558438,-0.11317437537642905,-0.48711621148186135,0.5822784810126582,0.9177280702219681,18.04952193712979,-21.249755121021664,228.91255443554763,2404,carry_xs,level,30,0.4,3
XScarry_lvl30_top40_rb5,0.5192174030134976,0.7648061100475515,-0.14958712638667648,-0.4770554445605645,0.620253164556962,0.9102409813488752,17.45649020696942,-19.31001537454688,195.25541955024923,2404,carry_xs,level,30,0.4,5
XScarry_lvl3_top40_rb5,0.5138766575828064,0.766889870930537,-0.14202920391787813,-0.3596184184320792,0.5822784810126582,0.9082795097955064,17.438377513593057,2.5059714930310575,554.4581259997473,2404,carry_xs,level,3,0.4,5
XScarry_lvl3_top40_rb3,0.4807670263043987,0.7154241686602193,-0.1596233665350398,-0.39719099149024983,0.6075949367088608,0.8928410784342122,18.21621793583198,-5.166616386097788,786.4783875091712,2404,carry_xs,level,3,0.4,3
XScarry_lvl1_top30_rb3,0.4169830429820738,0.5858576019233948,-0.15840768950216996,-0.36515334086510154,0.5189873417721519,0.8590865238041394,22.246880939846925,-10.996202737420962,1428.0122526273947,2404,carry_xs,level,1,0.3,3
XScarry_lvl30_top20_rb1,0.4087247743153469,0.5180953496772416,-0.2789674607519488,-0.3412537002154067,0.5189873417721519,0.8501285386830122,26.270428930516864,12.067733034780312,455.04621469002274,2404,carry_xs,level,30,0.2,1
XScarry_lvl1_top40_rb5,0.3903980770264718,0.5836966279113206,-0.19993937283104757,-0.36445124113100236,0.5316455696202531,0.8435650208928411,16.79406928800147,3.9959544778021305,758.2438715607807,2404,carry_xs,level,1,0.4,5
XScarry_lvl30_top20_rb5,0.38339463652938605,0.4763313626958817,-0.29215907175068445,-0.33578569012002546,0.5063291139240507,0.8339129011263344,24.339259115028227,2.420449736124981,286.67204441585244,2404,carry_xs,level,30,0.2,5
XScarry_lvl1_top40_rb3,0.3059705389907145,0.44895380502785115,-0.34321992148090097,-0.42010719303811694,0.5316455696202531,0.7853110619697312,17.786920911216676,-9.149466295553772,1181.6594259441067,2404,carry_xs,level,1,0.4,3
XScarry_lvl1_top10_rb3,0.25667578342676206,0.3175493695711955,,-0.35214274281144275,0.5189873417721519,0.7455391734658527,24.645214127256864,26.406981466489498,1593.3612554112553,2404,carry_xs,level,1,0.1,3
XScarry_lvl14_top10_rb5,0.1333735233311825,0.10631966926316308,,-0.7723389022750682,0.6075949367088608,0.6231309368540277,27.854714588290353,6.625725832919368,532.7,2404,carry_xs,level,14,0.1,5
