sleeve,kind,tf,sym,sharpe,mc_p5,mc_p50,max_dd,months_in_profit,ann_turnover,placebo_sharpe,n_obs,robust
GE_1h_breakout,equity,1h,GE,0.07038245233557842,,,-0.333117415738604,0.44565217391304346,21.673879639864204,-0.8043681432992907,2767,False
GOOGL_1h_breakout,equity,1h,GOOGL,-0.30729386808038794,,,-0.4483538213790884,0.391304347826087,28.093255336473696,-0.8438670934038456,2767,False
GS_1h_breakout,equity,1h,GS,0.18584923893631705,,,-0.2612331890852083,0.5,26.247207134065007,-1.3382280449877777,2767,False
HD_1h_breakout,equity,1h,HD,0.03493292519773038,,,-0.3349954544770425,0.43478260869565216,32.031026545445336,-1.9088292645783436,2767,False
HON_1h_breakout,equity,1h,HON,-0.08637639333553691,,,-0.25028947008640534,0.45652173913043476,35.464064581583074,-2.310530692690184,2767,False
IBM_1h_breakout,equity,1h,IBM,0.19602527969567293,,,-0.29794867899750066,0.5108695652173914,33.33203165111079,-1.0067185156824712,2767,False
INTC_1h_breakout,equity,1h,INTC,-0.05064264886898317,,,-0.4168651993238903,0.4673913043478261,20.354617148785472,-0.6925611881830411,2767,False
JNJ_1h_breakout,equity,1h,JNJ,-0.2549766645870718,,,-0.3311205433372155,0.45652173913043476,41.08997750206591,-2.159387565290539,2767,False
JPM_1h_breakout,equity,1h,JPM,-0.005294455030829646,,,-0.3281264941833131,0.45652173913043476,32.181232497583544,-1.619524673895796,2767,False
KO_1h_breakout,equity,1h,KO,-0.4264539525350069,,,-0.4302017562676388,0.3695652173913043,43.77388541139655,-2.229943070678494,2767,False
LOW_1h_breakout,equity,1h,LOW,0.35263209298933235,,,-0.24827966900350318,0.4891304347826087,28.287639144684924,-1.311441840409962,2767,False
MA_1h_breakout,equity,1h,MA,-0.819202527285905,,,-0.616740909546617,0.32608695652173914,35.121507800462474,-1.61358692539152,2767,False
MCD_1h_breakout,equity,1h,MCD,-0.2649983570557316,,,-0.3930300895764758,0.41304347826086957,41.989977991753754,-1.3769672636573103,2767,False
META_1h_breakout,equity,1h,META,-0.5082343550171298,,,-0.5773905199525224,0.391304347826087,22.672891732035076,-0.5540121723196406,2767,False
MRK_1h_breakout,equity,1h,MRK,-0.4200630158218356,,,-0.4794191377279725,0.40217391304347827,33.7881953772636,-1.4950601496290934,2767,False
MS_1h_breakout,equity,1h,MS,0.20698627219592688,,,-0.24339483113655802,0.5,25.476053975180296,-1.4796076029195808,2767,False
MSFT_1h_breakout,equity,1h,MSFT,-0.05854588353478181,,,-0.3739153672236213,0.4673913043478261,29.985171549444058,-1.9514874869343906,2767,False
NFLX_1h_breakout,equity,1h,NFLX,-0.1773023364130505,,,-0.3550865382651297,0.42391304347826086,23.006011688626916,-1.0744256826498333,2767,False
NKE_1h_breakout,equity,1h,NKE,0.11762084399754114,,,-0.18839217688926968,0.4891304347826087,26.896199656372584,-1.327919978336659,2767,False
NVDA_1h_breakout,equity,1h,NVDA,0.29981146720577556,,,-0.15170534942742908,0.44565217391304346,16.757738774881368,-0.5360135576887897,2767,False
ORCL_1h_breakout,equity,1h,ORCL,0.320304194619306,,,-0.2166046525183124,0.5760869565217391,26.38880087309455,-1.2324125689640322,2767,False
PEP_1h_breakout,equity,1h,PEP,-0.4055019282103843,,,-0.469909242671674,0.42391304347826086,40.668043261185915,-2.3169224143595586,2767,False
PFE_1h_breakout,equity,1h,PFE,0.2032814294896589,,,-0.34867632539445403,0.4673913043478261,28.956003394634564,-1.3443025478007884,2767,False
PG_1h_breakout,equity,1h,PG,-1.0357897875460425,,,-0.6577388443064213,0.29347826086956524,44.215761947126,-1.8017267432816066,2767,False
QCOM_1h_breakout,equity,1h,QCOM,0.22533919143180853,,,-0.2937121050698962,0.45652173913043476,21.021416078973786,-0.9789625638739903,2767,False
QQQ_1h_breakout,equity,1h,QQQ,0.02928823030463088,,,-0.24188929950910953,0.46835443037974683,38.088245568382426,-2.106264256880779,2368,False
SBUX_1h_breakout,equity,1h,SBUX,-0.3831814796718558,,,-0.47961160427963745,0.3804347826086957,30.211603540837817,-1.0769978688765431,2767,False
SLB_1h_breakout,equity,1h,SLB,0.19068133641176893,,,-0.3639225721074393,0.44565217391304346,19.373161627120147,-1.0663329431644069,2767,False
SPY_1h_breakout,equity,1h,SPY,-0.3564376741450579,,,-0.4023897309526736,0.4177215189873418,57.10793643961779,-2.610806133656013,2368,False
T_1h_breakout,equity,1h,T,-0.02868696184963388,,,-0.35367019750816675,0.4673913043478261,32.65225777270452,-1.2482292184199701,2767,False
TXN_1h_breakout,equity,1h,TXN,-0.5513111441456879,,,-0.5457566203279958,0.3695652173913043,26.86543508540034,-1.5884146748709267,2767,False
UNH_1h_breakout,equity,1h,UNH,0.2117740951034216,,,-0.26141153082434365,0.5217391304347826,27.752312069434275,-1.2222547119322318,2767,False
V_1h_breakout,equity,1h,V,-0.4043032737873882,,,-0.4216709166400864,0.358695652173913,35.48507806900824,-1.7002572671297493,2767,False
VZ_1h_breakout,equity,1h,VZ,-0.0697207022566619,,,-0.3713573868310569,0.391304347826087,38.75115406389974,-1.8120808933736028,2767,False
WFC_1h_breakout,equity,1h,WFC,0.24294859353753556,,,-0.2137769726620179,0.4673913043478261,24.909229105386974,-1.185591013488735,2767,False
WMT_1h_breakout,equity,1h,WMT,-0.11873248478691602,,,-0.3110879444051162,0.5,42.019577139954905,-1.7931336132282671,2767,False
XOM_1h_breakout,equity,1h,XOM,0.19146214716694532,,,-0.3147866475571861,0.4673913043478261,27.17412939289088,-1.6328056633801231,2767,False
AUDJPY=X_1h_breakout,fx,1h,AUDJPY=X,-0.16815720416739754,,,-0.3655384353161687,0.4,248.90652389582436,-3.7035223610810473,2380,False
AUDNZD=X_1h_breakout,fx,1h,AUDNZD=X,0.13688510488445899,,,-0.17824005123610398,0.5125,290.2618537678107,-7.301100505458237,2381,False
AUDUSD=X_1h_breakout,fx,1h,AUDUSD=X,-0.9929164473909444,,,-0.6554854820837354,0.3125,267.56380063397273,-3.905639015088172,2381,False
CADJPY=X_1h_breakout,fx,1h,CADJPY=X,0.03231127396900984,,,-0.3559181796376687,0.5125,274.92891053818374,-3.9181096234174997,2381,False
CHFJPY=X_1h_breakout,fx,1h,CHFJPY=X,-0.25651914493618755,,,-0.47533919440252825,0.4375,299.3508675135122,-5.03992972206084,2381,False
EURAUD=X_1h_breakout,fx,1h,EURAUD=X,-0.3938196670815679,,,-0.4801181451481017,0.35,298.72995924307287,-4.663348406797088,2381,False
EURCAD=X_1h_breakout,fx,1h,EURCAD=X,-0.5244119268511518,,,-0.49310687210281434,0.4375,326.89554214049394,-5.313633850572314,2381,False
EURCHF=X_1h_breakout,fx,1h,EURCHF=X,-0.8673971467730763,,,-0.5339034295801537,0.375,302.6421265453972,-6.245954372367011,2381,False
