sleeve,kind,tf,sym,sharpe,mc_p5,mc_p50,max_dd,months_in_profit,ann_turnover,placebo_sharpe,n_obs,robust
EURUSD=X_1d_breakout,fx,1d,EURUSD=X,-0.040007799608804184,,,-0.5467155145823517,0.3409090909090909,12.051511063179987,-0.22142487808443026,5330,False
GBPAUD=X_1d_breakout,fx,1d,GBPAUD=X,-0.16175704986589018,,,-0.5619822258011203,0.3465909090909091,12.56265377479975,-0.01400302421972851,5330,False
GBPCHF=X_1d_breakout,fx,1d,GBPCHF=X,-0.21480070492811237,,,-0.5381468106151823,0.30113636363636365,12.52232838843563,-0.285059314739016,5330,False
GBPJPY=X_1d_breakout,fx,1d,GBPJPY=X,-0.3555731829030132,,,-0.6731177218057434,0.32954545454545453,13.361652713398824,-0.09910040455044375,5330,False
GBPUSD=X_1d_breakout,fx,1d,GBPUSD=X,0.05602524483101262,,,-0.2838085793542231,0.3409090909090909,11.809731531794691,-0.4740719314673103,5330,False
NZDJPY=X_1d_breakout,fx,1d,NZDJPY=X,-0.03698816431321979,,,-0.49046576231166716,0.3181818181818182,10.305840968323349,0.21501710494952658,5330,False
NZDUSD=X_1d_breakout,fx,1d,NZDUSD=X,-0.09046466769807666,,,-0.47104337104801697,0.3409090909090909,10.64026167242561,-0.46261176029516193,5330,False
USDCAD=X_1d_breakout,fx,1d,USDCAD=X,0.08899294380520184,,,-0.43874366646759555,0.36363636363636365,15.576427094799136,-0.27503016887982046,5330,False
USDCHF=X_1d_breakout,fx,1d,USDCHF=X,-0.39977679779298275,,,-0.728057901514462,0.3068181818181818,13.65378857687898,-0.14315948246082438,5330,False
USDJPY=X_1d_breakout,fx,1d,USDJPY=X,0.030723558711528865,,,-0.43978163808786086,0.3181818181818182,13.754562709763205,-0.3267212965783481,5330,False
USDMXN=X_1d_breakout,fx,1d,USDMXN=X,-0.040204671709824766,,,-0.5089441281452132,0.32386363636363635,10.63041941612651,-0.14256941416871655,5330,False
USDNOK=X_1d_breakout,fx,1d,USDNOK=X,0.0947316547270586,,,-0.45729427528099886,0.3693181818181818,9.252621966404757,-0.2551538144462482,5330,False
USDSEK=X_1d_breakout,fx,1d,USDSEK=X,-0.16073191028476796,,,-0.5839871639748735,0.36363636363636365,10.335808370177764,0.16265216091621823,5330,False
USDSGD=X_1d_breakout,fx,1d,USDSGD=X,0.17998704516151634,,,-0.23581887974201488,0.4034090909090909,15.701748245021736,-0.4270881504915169,5330,False
USDZAR=X_1d_breakout,fx,1d,USDZAR=X,-0.24359140804628615,,,-0.48766079357728065,0.2840909090909091,6.556618655030418,-0.2837809818927958,5330,False
BTCUSDT_4h_breakout,crypto,4h,BTCUSDT,0.4684898684237245,,,-0.15798534079081483,0.46835443037974683,27.844979232635414,-1.8407257675008224,2404,False
ETHUSDT_4h_breakout,crypto,4h,ETHUSDT,1.0193666637157084,0.4031380020274037,1.0216306382233094,-0.1531750209316075,0.569620253164557,19.32708258338477,-2.24583235593796,2404,True
BNBUSDT_4h_breakout,crypto,4h,BNBUSDT,0.697591766193557,0.00021566270846960106,0.7124423201379992,-0.18659924389344495,0.5512820512820513,23.05631234471361,-2.6835308565940856,2364,True
XRPUSDT_4h_breakout,crypto,4h,XRPUSDT,0.15075666688650383,,,-0.3169627809327794,0.43037974683544306,18.289115811042496,-1.1891320979629267,2399,False
SOLUSDT_4h_breakout,crypto,4h,SOLUSDT,1.436439635806729,0.733858268919889,1.4280687644801073,-0.13100223426202096,0.5915492957746479,12.930562071796594,-1.0929743635870337,2147,True
TRXUSDT_4h_breakout,crypto,4h,TRXUSDT,0.28109030889688225,,,-0.2758658378860317,0.4936708860759494,33.08308419210499,-2.8130801515599058,2390,False
DOGEUSDT_4h_breakout,crypto,4h,DOGEUSDT,0.9771800035368065,0.30693362497446264,0.9833929852050813,-0.2157167261771371,0.6027397260273972,14.44751498208398,-1.3255392925245255,2213,True
ZECUSDT_4h_breakout,crypto,4h,ZECUSDT,0.37542631614606004,,,-0.2203388759966548,0.6282051282051282,13.143996137408713,-1.552628485292963,2369,False
ADAUSDT_4h_breakout,crypto,4h,ADAUSDT,0.9542191924301724,0.35117213113494,0.9996055153111748,-0.18975818814103396,0.5189873417721519,15.124517913441942,-1.6653627476695059,2374,True
XMRUSDT_4h_breakout,crypto,4h,XMRUSDT,-0.32901262826559824,,,-0.3902805010966285,0.38461538461538464,16.286291208126325,-1.4844320287747796,2371,False
LINKUSDT_4h_breakout,crypto,4h,LINKUSDT,0.09266903442407745,,,-0.3610203614863772,0.4936708860759494,15.633335545859975,-1.804269989723759,2388,False
XLMUSDT_4h_breakout,crypto,4h,XLMUSDT,0.33246848129685086,,,-0.21360483215361759,0.46835443037974683,17.209761728952227,-1.968973979335719,2385,False
BCHUSDT_4h_breakout,crypto,4h,BCHUSDT,0.23475082895100388,,,-0.25889903157924377,0.46835443037974683,17.982010057471136,-1.3319570134584904,2404,False
LTCUSDT_4h_breakout,crypto,4h,LTCUSDT,-0.22143562479630746,,,-0.4433275366237702,0.4430379746835443,17.84105175604071,-0.661421174352341,2396,False
HBARUSDT_4h_breakout,crypto,4h,HBARUSDT,0.24144564024225143,,,-0.2736555677896999,0.5076923076923077,14.085139638511363,-1.507865291868183,1963,False
1000SHIBUSDT_4h_breakout,crypto,4h,1000SHIBUSDT,0.23222764313518626,,,-0.19202571532909252,0.42857142857142855,15.609475670847381,-0.9410183678493058,1909,False
AVAXUSDT_4h_breakout,crypto,4h,AVAXUSDT,0.9013767121822056,0.23069951732015695,0.9402510664117045,-0.18541926068658832,0.5211267605633803,14.44095507807825,-1.5717580306914067,2138,True
SUIUSDT_4h_breakout,crypto,4h,SUIUSDT,0.28467930651923357,,,-0.27482399468119434,0.48717948717948717,12.998866339463758,-1.3175772643669392,1186,False
UNIUSDT_4h_breakout,crypto,4h,UNIUSDT,-0.022192910734398004,,,-0.31907354165646695,0.4507042253521127,14.279526584338033,-1.722801624827702,2143,False
NEARUSDT_4h_breakout,crypto,4h,NEARUSDT,1.0488069562625626,0.429982372529516,1.0982999223281376,-0.18645651427913756,0.5857142857142857,11.299506892425365,-1.526865989222815,2116,True
DOTUSDT_4h_breakout,crypto,4h,DOTUSDT,0.1397279323947311,,,-0.24940578239847977,0.4444444444444444,16.259417620616546,-1.4921233054987841,2170,False
AAVEUSDT_4h_breakout,crypto,4h,AAVEUSDT,-0.09175454608695582,,,-0.3213035668225631,0.37142857142857144,14.103747474180826,-1.966908944305562,2115,False
1000PEPEUSDT_4h_breakout,crypto,4h,1000PEPEUSDT,0.7030742802337416,-0.2732174364191638,0.6997030634748054,-0.15016637239686448,0.5128205128205128,12.01101077791303,-1.111509802873443,1184,False
