kind,sym,tf,config,sharpe,max_dd,months_in_profit,ann_turnover,n_obs,placebo_sharpe
equity,VMI,1d,d55_rev,-0.10187951529596656,-0.4663982288090217,0.4602272727272727,2.8120281631993995,5329,-0.5467694664175717
equity,VMI,1d,d55_atr3,-0.07063800591416473,-0.3327762924206772,0.3181818181818182,3.6320142544095804,5329,-0.3566106426425986
equity,VMI,1d,d55_atr3_tr,-0.07063800591416473,-0.3327762924206772,0.3181818181818182,3.6320142544095804,5329,-0.06480481871982267
equity,VMI,1d,d55_atr3_vol,-0.036162115971309854,-0.3077540945373908,0.2727272727272727,2.9308646883063827,5329,-0.16573880763040785
equity,VMI,1d,d55_chan20,-0.1403837685523704,-0.441560350008407,0.3352272727272727,3.478119760770786,5329,-0.30115837329370193
equity,VMI,1d,d20_chan10,-0.02998810910163045,-0.3423146761927026,0.4147727272727273,6.658752970642401,5329,-0.2969191144036256
equity,VMI,1d,boll_atr3,-0.16806408467828504,-0.51304442925806,0.375,5.687062185060858,5329,-0.6002411347305847
equity,VMI,1d,kelt_atr3,-0.18846493331555264,-0.45936471970831505,0.3522727272727273,4.5349503296881615,5329,-0.015506087414134126
equity,VNO,1d,base_d55_tb,0.19511045229597349,-0.2040875750118215,0.23295454545454544,7.993044519168918,5328,0.04848022106355515
equity,VNO,1d,d55_rev,-0.0879716309844412,-0.4785228521577497,0.4375,3.0779463183079034,5328,-0.00512961969934424
equity,VNO,1d,d55_atr3,0.09674067515125115,-0.3176325571439709,0.3465909090909091,3.7407091195798317,5328,-0.5882029077961367
equity,VNO,1d,d55_atr3_tr,0.10277837665500775,-0.3176325571439709,0.3465909090909091,3.738630215661117,5328,-0.6074491196066455
equity,VNO,1d,d55_atr3_vol,0.0009394967753567277,-0.358399523800389,0.2840909090909091,3.3887242643889546,5328,-0.4117350991578678
equity,VNO,1d,d55_chan20,0.181446602965732,-0.30816159729359216,0.38636363636363635,3.3370377999526712,5328,-0.3959786647812644
equity,VNO,1d,d20_chan10,0.0930744203448264,-0.4583373450537105,0.4375,6.988383846662776,5328,-0.6653240828967995
equity,VNO,1d,boll_atr3,-0.09764306077085386,-0.5095966003212498,0.4090909090909091,6.321530352399394,5328,-0.1641850231826124
equity,VNO,1d,kelt_atr3,0.11640465127094718,-0.3931327139257085,0.3806818181818182,4.864427292693632,5328,-0.09298938399405579
equity,VNOM,1d,base_d55_tb,-0.10400837854036904,-0.18041740150636298,0.21768707482993196,4.476561809739201,4432,-0.3997795054898573
equity,VNOM,1d,d55_rev,0.24533772833601444,-0.3941217734881831,0.54421768707483,1.4921141341759285,4432,-0.16552710132541718
equity,VNOM,1d,d55_atr3,0.07069871371242867,-0.30886449747906486,0.3129251700680272,2.2653391491733412,4432,-0.30164570287379017
equity,VNOM,1d,d55_atr3_tr,0.07260600970925588,-0.3088644974790652,0.3129251700680272,2.265185674034359,4432,-0.0941708972656347
equity,VNOM,1d,d55_atr3_vol,0.055769500945204,-0.2969367777122266,0.272108843537415,1.9123192847357775,4432,-0.1117938232152228
equity,VNOM,1d,d55_chan20,0.19184672618002382,-0.30495821220666575,0.3945578231292517,1.9475016075857938,4432,-0.2574208647379667
equity,VNOM,1d,d20_chan10,-0.24421908352843344,-0.5080902906989124,0.3469387755102041,4.5795097751267235,4432,-0.3715189836306437
equity,VNOM,1d,boll_atr3,0.031883744666771165,-0.4239637312598026,0.4217687074829932,3.2723051358306643,4432,-0.5500201679647949
equity,VNOM,1d,kelt_atr3,0.11398010597830374,-0.30454868060645157,0.32653061224489793,2.354630210722272,4432,-0.37956063723462236
equity,VNT,1d,base_d55_tb,0.4246702701780129,-0.07535831549245142,0.2916666666666667,5.958484155633519,2141,0.047094951920406206
equity,VNT,1d,d55_rev,0.40900327236187545,-0.2508342111297436,0.4305555555555556,1.8761716060610472,2141,-1.1537562556828396
equity,VNT,1d,d55_atr3,0.15976277645077144,-0.21688342740358368,0.3194444444444444,3.0486382984532816,2141,-1.2693435515854896
equity,VNT,1d,d55_atr3_tr,0.15976277645077144,-0.21688342740358368,0.3194444444444444,3.0486382984532816,2141,-0.3553382182580009
equity,VNT,1d,d55_atr3_vol,-0.07023744440671968,-0.19057764539655697,0.2361111111111111,2.637022346994898,2141,-0.5824494342272649
equity,VNT,1d,d55_chan20,0.4102111571886579,-0.1401189809160669,0.3611111111111111,2.578656282673301,2141,0.3339543207284355
equity,VNT,1d,d20_chan10,0.34772600224891215,-0.19880083001808602,0.4722222222222222,5.595198639818225,2141,-0.8146151935779585
equity,VNT,1d,boll_atr3,-0.01993592005274537,-0.236181924356352,0.4166666666666667,5.003275590872693,2141,-0.060644001258529555
equity,VNT,1d,kelt_atr3,-0.0519136119566839,-0.18811958021766984,0.3888888888888889,4.661980173652055,2141,-0.5557799837024088
equity,VOYA,1d,base_d55_tb,-0.006469555588719735,-0.21976788196162,0.2625,6.424224884175134,4844,-0.5820659567275502
equity,VOYA,1d,d55_rev,-0.21867534825592147,-0.7233466218119128,0.44375,3.07285693295365,4844,-0.3742375081629115
equity,VOYA,1d,d55_atr3,-0.06384936056869978,-0.5084685740786449,0.3,3.7549866306217017,4844,0.0804231559789567
equity,VOYA,1d,d55_atr3_tr,-0.0405027601526824,-0.5084685740786443,0.3,3.7076181518803293,4844,0.04237747278512316
equity,VOYA,1d,d55_atr3_vol,-0.09986927885347824,-0.45070214669082986,0.23125,2.9797773223463007,4844,-0.06207116696474919
equity,VOYA,1d,d55_chan20,-0.10668789693136367,-0.5172016418819481,0.34375,3.6789083428738554,4844,-0.8690491316618283
equity,VOYA,1d,d20_chan10,-0.13426724766594608,-0.5633407318622848,0.4375,7.158056103594594,4844,-0.2619363652449468
equity,VOYA,1d,boll_atr3,-0.17092586373904337,-0.6629820791541685,0.41875,5.978746169206301,4844,-0.3135926815421661
equity,VOYA,1d,kelt_atr3,-0.12110345299258049,-0.6351251298095484,0.35625,4.762471281016377,4844,-0.41289695804489784
equity,VRRM,1d,base_d55_tb,-0.3888942302540424,-0.2530466338258851,0.22807017543859648,6.8543095455401515,3422,-0.45591972781998913
equity,VRRM,1d,d55_rev,-0.1462492727104834,-0.6679920425312609,0.40350877192982454,2.8938483606064973,3422,-1.3481966181574567
equity,VRRM,1d,d55_atr3,-0.27684399025530615,-0.4518163723140436,0.22807017543859648,4.156153787444723,3422,-0.6857166792176076
equity,VRRM,1d,d55_atr3_tr,-0.27684399025530615,-0.4518163723140436,0.22807017543859648,4.156153787444723,3422,-0.38755060869428254
equity,VRRM,1d,d55_atr3_vol,-0.28121371394285555,-0.4258881944441196,0.18421052631578946,3.7038847648839464,3422,-0.334162059077267
equity,VRRM,1d,d55_chan20,-0.05937361486506651,-0.42695542288630406,0.2982456140350877,3.231969851321075,3422,-1.0743301398298521
equity,VRRM,1d,d20_chan10,0.10815056355552906,-0.4194557755425872,0.3684210526315789,6.089449396520996,3422,-1.2010366452748262
equity,VRRM,1d,boll_atr3,0.09039197074543563,-0.41663930634862345,0.42105263157894735,7.644298219870686,3422,-0.8623382515412131
equity,VRRM,1d,kelt_atr3,0.09306742306200066,-0.3128344693654771,0.2982456140350877,5.687516254220628,3422,-0.5252912678988487
equity,VRSK,1d,base_d55_tb,-0.14047280731833164,-0.2764198004447569,0.3125,9.154597853627942,5328,0.0020881610670941213
equity,VRSK,1d,d55_rev,-0.05724649121958126,-0.6169048318619161,0.4715909090909091,3.360970858422063,5328,-0.17320740607434462
equity,VRSK,1d,d55_atr3,-0.2757750279749989,-0.5772800564949041,0.3352272727272727,4.8072350577897485,5328,-0.4323777416417714
equity,VRSK,1d,d55_atr3_tr,-0.2757750279749989,-0.5772800564949041,0.3352272727272727,4.8072350577897485,5328,-0.5770291503832469
equity,VRSK,1d,d55_atr3_vol,-0.35870648463212274,-0.5345770472268114,0.25,3.5374651900608756,5328,-0.0858526098496025
equity,VRSK,1d,d55_chan20,-0.06043371462059384,-0.4622765100137367,0.3806818181818182,4.353492826278371,5328,-0.6356325538809625
equity,VRSK,1d,d20_chan10,-0.08675537042906709,-0.5953796206854886,0.4147727272727273,8.978295750243564,5328,-0.7304038327270503
equity,VRSK,1d,boll_atr3,-0.3801367181935901,-0.7671036065537569,0.3806818181818182,7.698070216936993,5328,0.023660248837521887
equity,VRSK,1d,kelt_atr3,-0.34402254966023704,-0.6763322987282647,0.3409090909090909,6.287177630607618,5328,-0.18504823577313703
equity,VRSN,1d,base_d55_tb,0.09805625011192932,-0.20635663570671114,0.2840909090909091,8.731054133190977,5328,-0.4436155800432891
equity,VRSN,1d,d55_rev,0.0768950010743233,-0.5765781371384369,0.5056818181818182,3.1810415115713657,5328,-0.8891729156256917
equity,VRSN,1d,d55_atr3,-0.07407966561912689,-0.39229435869186813,0.3522727272727273,4.278908968022776,5328,-0.2451265165371658
equity,VRSN,1d,d55_atr3_tr,-0.08202887154406577,-0.40188023068222745,0.3522727272727273,4.278542939369685,5328,-0.27891383315331325
equity,VRSN,1d,d55_atr3_vol,-0.24444758051735663,-0.5084592502614462,0.2784090909090909,3.831123398044872,5328,-0.1602856786534922
equity,VRSN,1d,d55_chan20,0.017991300811835614,-0.42409000777912254,0.3977272727272727,3.840705846705494,5328,-0.12425577459086906
equity,VRSN,1d,d20_chan10,0.11770633557106214,-0.3063048260863074,0.4772727272727273,7.502536847990772,5328,0.03052860299529895
equity,VRSN,1d,boll_atr3,-0.029346499639108136,-0.4235788693442223,0.4715909090909091,6.3937702103218985,5328,-0.11025291272949037
equity,VRSN,1d,kelt_atr3,-0.09917175142418408,-0.4766359685694267,0.4375,5.50458228482683,5328,-0.27531755448328404
equity,VRT,1d,base_d55_tb,-0.011878241181776154,-0.20612483501348056,0.28865979381443296,6.241959382500842,2925,-0.45649579886901565
equity,VRT,1d,d55_rev,0.7872750803823848,-0.28627415676686385,0.5876288659793815,1.5343661088363314,2925,-0.7240620753258559
equity,VRT,1d,d55_atr3,0.6327529349673855,-0.2736706870756963,0.44329896907216493,2.1285750516746336,2925,-0.5539897444025788
equity,VRT,1d,d55_atr3_tr,0.6129732466488677,-0.2953622726924442,0.44329896907216493,2.112023915376199,2925,-0.7292847351236863
equity,VRT,1d,d55_atr3_vol,0.5909370081172838,-0.24491524630871853,0.3917525773195876,2.0302387842974743,2925,-0.2672514597759022
equity,VRT,1d,d55_chan20,0.6998327413436878,-0.2354910159554754,0.4742268041237113,2.015483756314913,2925,-0.6366615584224931
equity,VRT,1d,d20_chan10,0.4385624663237851,-0.2776084916570064,0.4845360824742268,3.6136511850467827,2925,-0.9991634393032354
equity,VRT,1d,boll_atr3,0.6903701127505201,-0.3277310994704913,0.5567010309278351,2.83756521138127,2925,-0.5993795655157615
equity,VRT,1d,kelt_atr3,0.7267848197813079,-0.25246456001980466,0.4536082474226804,2.285477774055118,2925,-0.3978897231766438
equity,VRTS,1d,base_d55_tb,0.0891209346259558,-0.18993012234460904,0.2897727272727273,5.704836534094333,5329,0.20079291704856264
equity,VRTS,1d,d55_rev,-0.07916181826244832,-0.6581716620526417,0.4431818181818182,2.1854398826725143,5329,-0.19265750103555845
equity,VRTS,1d,d55_atr3,0.266456836814027,-0.3110059676227861,0.3977272727272727,2.6869559976274107,5329,-0.6499274417842154
equity,VRTS,1d,d55_atr3_tr,0.266456836814027,-0.3110059676227861,0.3977272727272727,2.6869559976274107,5329,-0.6521216967153882
equity,VRTS,1d,d55_atr3_vol,0.309142178167493,-0.26506997334911386,0.32954545454545453,2.137317248612497,5329,-0.48092088793684334
equity,VRTS,1d,d55_chan20,0.17697599554344082,-0.3517883445074531,0.3977272727272727,2.6270269122289966,5329,-0.40054928276291957
equity,VRTS,1d,d20_chan10,0.3144109043683543,-0.46549766295182093,0.4375,4.699088139755189,5329,-0.1434604376828425
equity,VRTS,1d,boll_atr3,0.3308586710126018,-0.3318216718739698,0.4602272727272727,3.7263508110690196,5329,-0.2850969519360263
equity,VRTS,1d,kelt_atr3,0.36276540460682044,-0.27244048965152246,0.4431818181818182,3.0568572873205433,5329,-0.32899768273717517
equity,VRTX,1d,base_d55_tb,-0.1172856380103396,-0.23999281400832462,0.23863636363636365,4.968463925080381,5328,-0.31505101253057133
equity,VRTX,1d,d55_rev,-0.038488593402866166,-0.42606002483661487,0.44886363636363635,2.3196041759429344,5328,-0.46619005550052484
equity,VRTX,1d,d55_atr3,-0.13851310811114761,-0.5250388928135106,0.32386363636363635,3.0498054239483596,5328,0.22437667763536107
equity,VRTX,1d,d55_atr3_tr,-0.13202097146935995,-0.517469708660004,0.32954545454545453,3.0495889063101274,5328,-0.042374637074734905
equity,VRTX,1d,d55_atr3_vol,-0.04314858803176395,-0.3919952141169397,0.2727272727272727,2.3091064260972263,5328,-0.14459115050273144
equity,VRTX,1d,d55_chan20,-0.05311676045951282,-0.46865242830382836,0.3522727272727273,2.704017163364373,5328,-0.4897472791071634
equity,VRTX,1d,d20_chan10,-0.35519210065822143,-0.7738178104849188,0.3693181818181818,5.526392793631955,5328,0.15305879041255338
equity,VRTX,1d,boll_atr3,-0.17785371305740802,-0.6302184384744245,0.4375,4.166664742213199,5328,-0.32839370066608664
equity,VRTX,1d,kelt_atr3,-0.24572190503319757,-0.6767302845409068,0.36363636363636365,3.334712964597466,5328,-0.3256132870753993
equity,VSAT,1d,base_d55_tb,-0.03941911210057036,-0.3795461401118023,0.25,4.569657100169517,5329,-0.05493530612161054
equity,VSAT,1d,d55_rev,-0.2146947409289292,-0.7425324184229323,0.4602272727272727,2.1235707665590535,5329,-0.401896505740883
equity,VSAT,1d,d55_atr3,0.03986299108322963,-0.5198578656165767,0.30113636363636365,2.6097538770165554,5329,0.08552396398956288
equity,VSAT,1d,d55_atr3_tr,0.0467847630204159,-0.5125209332492002,0.2897727272727273,2.5441946171499676,5329,-0.23218503076918331
equity,VSAT,1d,d55_atr3_vol,0.014474127704641087,-0.48056500598484286,0.26136363636363635,2.355517579363784,5329,-0.11695483712961113
equity,VSAT,1d,d55_chan20,-0.10637607817895399,-0.5985412782612749,0.3068181818181818,2.5262210159994885,5329,-0.3578670139032297
equity,VSAT,1d,d20_chan10,-0.0541962146908069,-0.4936309431185949,0.3977272727272727,4.963146672725922,5329,-0.23631456727079223
equity,VSAT,1d,boll_atr3,-0.08270384091586881,-0.5585333748960206,0.4090909090909091,3.979042634386446,5329,-0.3403511181302035
equity,VSAT,1d,kelt_atr3,-0.013979205941706208,-0.574534888487219,0.38636363636363635,3.1467552482584367,5329,-0.3403357231589391
equity,VSEC,1d,base_d55_tb,0.15035824234175685,-0.334560645920136,0.26704545454545453,4.838473212211333,5329,-0.20228933730037765
equity,VSEC,1d,d55_rev,0.24877305729008947,-0.3102931102934615,0.5625,1.6106756045080606,5329,-0.6087556475960151
equity,VSEC,1d,d55_atr3,0.045378978752241346,-0.4630544518067674,0.4090909090909091,2.3210361133318393,5329,-0.5463387730695718
equity,VSEC,1d,d55_atr3_tr,0.045378978752241346,-0.4630544518067674,0.4090909090909091,2.3210361133318393,5329,-0.2592632711426705
equity,VSEC,1d,d55_atr3_vol,0.1365248491366764,-0.3906374785325304,0.32386363636363635,1.7655651459111072,5329,-0.5167668376332298
equity,VSEC,1d,d55_chan20,0.16855666312448814,-0.4653490267314382,0.4602272727272727,2.1253896875182456,5329,-0.5252880164991153
equity,VSEC,1d,d20_chan10,0.08609322981104846,-0.5967815539284808,0.5113636363636364,3.732148840193038,5329,-0.7862370399239399
equity,VSEC,1d,boll_atr3,0.04141231089716053,-0.5265654215516429,0.48863636363636365,3.318493085307088,5329,-0.7720796690665735
equity,VSEC,1d,kelt_atr3,-0.20762111938455366,-0.5687834633014845,0.39204545454545453,2.8631862655351448,5329,-0.893320440246501
equity,VSH,1d,base_d55_tb,0.3542681018694961,-0.14882786164119755,0.2784090909090909,5.801736893691765,5329,0.05212018257811939
equity,VSH,1d,d55_rev,0.1646758088856372,-0.2772407202147348,0.4715909090909091,1.9288870166523002,5329,-0.1713786430488371
equity,VSH,1d,d55_atr3,0.12023805102585326,-0.34496408374765253,0.3522727272727273,2.9078961825183582,5329,-0.4989712961222595
equity,VSH,1d,d55_atr3_tr,0.12023805102585326,-0.34496408374765253,0.3522727272727273,2.9078961825183582,5329,0.02861672348550428
equity,VSH,1d,d55_atr3_vol,0.07063357979253845,-0.26558537329638554,0.26704545454545453,2.3005890632787094,5329,-0.2530652114789434
equity,VSH,1d,d55_chan20,0.07635924352872271,-0.3647425521017337,0.375,2.6285474225019345,5329,-0.4212747644495798
equity,VSH,1d,d20_chan10,-0.1094464103006465,-0.6132790493848765,0.4034090909090909,5.8262431512404,5329,-0.7295454463079637
equity,VSH,1d,boll_atr3,-0.004841981396285701,-0.41089108737639835,0.4147727272727273,4.552870480180856,5329,-0.12198165906223583
equity,VSH,1d,kelt_atr3,0.011228581720795876,-0.4499425817024768,0.38636363636363635,3.7189846971284917,5329,-0.8839123629771102
equity,VST,1d,base_d55_tb,-0.06677798685959178,-0.32433645088416274,0.2773109243697479,6.330203533570737,3591,-0.19152031910594636
equity,VST,1d,d55_rev,0.18326341746190053,-0.395206437398837,0.5294117647058824,2.1576583373807683,3591,-0.16646115122013963
equity,VST,1d,d55_atr3,0.036330714903500726,-0.4682285464801753,0.35294117647058826,2.939319584960675,3591,0.014142749872119519
equity,VST,1d,d55_atr3_tr,0.036330714903500726,-0.4682285464801753,0.35294117647058826,2.939319584960675,3591,-0.6369120933631229
equity,VST,1d,d55_atr3_vol,-0.06860113221418732,-0.5086643978411073,0.29411764705882354,2.6795735641006906,3591,-0.42833599151288304
equity,VST,1d,d55_chan20,0.11310331853041432,-0.4399320465043559,0.4117647058823529,2.821352608537548,3591,-0.3176309878842227
equity,VST,1d,d20_chan10,0.05407300246285114,-0.5022095575305697,0.4117647058823529,4.787357053099016,3591,-0.4148148237532021
equity,VST,1d,boll_atr3,-0.22255313391859818,-0.5972804492258807,0.3865546218487395,4.255791106761741,3591,0.09532530556516568
equity,VST,1d,kelt_atr3,0.05880451749774317,-0.5040142066380335,0.36134453781512604,3.229596679630679,3591,0.008755747832267024
equity,VSTS,1d,base_d55_tb,-0.004409144124615491,-0.0929776206701034,0.3333333333333333,2.733180103099397,1044,0.06127914777478489
equity,VSTS,1d,d55_rev,0.8589579453907259,-0.11429168343618012,0.5555555555555556,1.0611460675058753,1044,0.1666811747617032
equity,VSTS,1d,d55_atr3,0.15747897305213343,-0.14857651113396242,0.4444444444444444,1.7814801273790466,1044,-1.1139862081249394
equity,VSTS,1d,d55_atr3_tr,0.04626834012342942,-0.14857651113396242,0.4444444444444444,1.7762712035568562,1044,-0.007069285950293812
equity,VSTS,1d,d55_atr3_vol,-0.10249446787821366,-0.15191758350029394,0.4166666666666667,1.7717738186147372,1044,-0.14090347513835458
equity,VSTS,1d,d55_chan20,0.5641139943303447,-0.18765016888595343,0.5,1.2312099130233147,1044,-0.055484024312972446
equity,VSTS,1d,d20_chan10,0.06232943626601664,-0.37512044264885513,0.5277777777777778,2.0504758812589494,1044,0.6085397528953876
equity,VSTS,1d,boll_atr3,0.3266070663565948,-0.2002717491548267,0.5555555555555556,2.2053040936179085,1044,0.3159063153036991
equity,VSTS,1d,kelt_atr3,0.17295534026128642,-0.23289769054342147,0.5277777777777778,2.113287350566432,1044,-0.48677358178387864
equity,VSXY,1d,base_d55_tb,0.6138740384543017,-0.14034811914403456,0.3387096774193548,3.076919475302797,1842,-0.3209151241462236
equity,VSXY,1d,d55_rev,0.02119547686946772,-0.3730540211213321,0.4838709677419355,1.2200518627001806,1842,-0.9369147692456647
equity,VSXY,1d,d55_atr3,0.5167161028529252,-0.2099372313069635,0.3548387096774194,1.3984277956432276,1842,-0.5285765179159959
equity,VSXY,1d,d55_atr3_tr,0.5167161028529252,-0.2099372313069635,0.3548387096774194,1.3984277956432276,1842,0.21229263706989301
equity,VSXY,1d,d55_atr3_vol,0.6435674490820363,-0.1794275105435611,0.3548387096774194,1.1908631795339193,1842,-0.20976158029162736
equity,VSXY,1d,d55_chan20,0.2926342246051035,-0.3024210686398867,0.4032258064516129,1.3052563921874738,1842,0.1317077718429905
equity,VSXY,1d,d20_chan10,0.5057302837575817,-0.2307230181482195,0.3870967741935484,2.37377826876513,1842,-0.996341109683024
equity,VSXY,1d,boll_atr3,0.42964299771168046,-0.2469148929727959,0.45161290322580644,2.168162112897004,1842,0.20018070451686076
equity,VSXY,1d,kelt_atr3,0.6126106880140456,-0.17974593100468572,0.3870967741935484,1.6658321009172812,1842,-0.10979396161822857
equity,VTOL,1d,base_d55_tb,-0.16078423421667198,-0.31023627698707135,0.18902439024390244,3.7469038081604635,4944,-0.07465538606097889
equity,VTOL,1d,d55_rev,-0.0072286522259256344,-0.5729468048227008,0.4329268292682927,1.430535127334177,4944,-0.9733179796545575
