kind,sym,tf,exit,sharpe,mc_p5,max_dd,months_in_profit,ann_turnover
crypto,XRPUSDT,4h,channel,0.17730267568211774,,-0.29148758038321254,0.43037974683544306,14.32859648314006
crypto,XRPUSDT,4h,atr_trailing,0.3509988082659431,,-0.22371391463341483,0.4430379746835443,15.17007737319849
crypto,XRPUSDT,4h,reversal,-0.26797569461343496,,-0.5199274842019067,0.43037974683544306,13.12663182417225
crypto,ADAUSDT,4h,triple_barrier,0.8018074168317785,0.17408830444520915,-0.12920997123028555,0.5822784810126582,24.788147890823264
crypto,ADAUSDT,4h,time,0.40713989350135776,,-0.2617188761961947,0.43037974683544306,15.3469378028468
crypto,ADAUSDT,4h,channel,0.230760836912125,,-0.27651584804246643,0.43037974683544306,14.16485819562583
crypto,ADAUSDT,4h,atr_trailing,0.7562754599336634,0.15121555117585725,-0.17999492091034563,0.5063291139240507,14.069440989881082
crypto,ADAUSDT,4h,reversal,0.536999671799754,-0.09279200708288557,-0.21942310367213747,0.5316455696202531,11.723945338424766
crypto,AVAXUSDT,4h,triple_barrier,-0.2543043072998618,,-0.2329626930014852,0.352112676056338,22.45531559248924
crypto,AVAXUSDT,4h,time,0.8559118535139576,0.2456240920722146,-0.2214120977353372,0.5774647887323944,12.717096805032249
crypto,AVAXUSDT,4h,channel,0.6866056859260372,0.06680189556339378,-0.19375442534088794,0.5070422535211268,11.931537546898971
crypto,AVAXUSDT,4h,atr_trailing,0.678258605004268,0.022309083890947483,-0.15816395153096396,0.4788732394366197,12.42275292699408
crypto,AVAXUSDT,4h,reversal,0.7843061880523784,0.17996827693674985,-0.25611567714892125,0.5211267605633803,9.685974206533361
crypto,NEARUSDT,4h,triple_barrier,0.7299548680503142,0.08606721670724331,-0.07051645368085946,0.5,20.105248098316263
crypto,NEARUSDT,4h,time,0.34826612119236455,,-0.18449445007910792,0.5285714285714286,11.198171121335163
crypto,NEARUSDT,4h,channel,0.6698947994257396,-0.03392129281016039,-0.1616825221865481,0.6,10.044500892989307
crypto,NEARUSDT,4h,atr_trailing,0.6784177510718389,0.016138389322397986,-0.16508650349234755,0.5714285714285714,10.608682602791866
crypto,NEARUSDT,4h,reversal,0.37897024410209434,,-0.34017665404596775,0.5,8.488740621541147
crypto,LINKUSDT,4h,triple_barrier,-0.08595598962424575,,-0.22681742895511037,0.4177215189873418,23.963045334669207
crypto,LINKUSDT,4h,time,-0.3287882293967663,,-0.4775328450483508,0.46835443037974683,14.445588746768832
crypto,LINKUSDT,4h,channel,-0.09929822733188043,,-0.373020443873996,0.5063291139240507,13.148298882982882
crypto,LINKUSDT,4h,atr_trailing,-0.1562324816886154,,-0.35192604752288903,0.46835443037974683,13.778637810069895
crypto,LINKUSDT,4h,reversal,-0.26488734391846636,,-0.49635646317547155,0.4936708860759494,11.143698915452966
crypto,DOGEUSDT,4h,triple_barrier,0.5919664397722342,-0.08388532679497883,-0.18808504419382877,0.4931506849315068,20.55010428434754
crypto,DOGEUSDT,4h,time,0.5906460111415575,-0.1204604359454629,-0.20443370754555046,0.547945205479452,13.906973290131688
crypto,DOGEUSDT,4h,channel,0.5451510010251227,-0.19718873921297186,-0.20693992750860957,0.5342465753424658,12.418032498063202
crypto,DOGEUSDT,4h,atr_trailing,0.6721065809752041,-0.026057347352183954,-0.1712522602089417,0.4931506849315068,13.664458859973207
crypto,DOGEUSDT,4h,reversal,0.6993910882309831,0.0068767560976276424,-0.23547243938512374,0.589041095890411,10.462835922391912
crypto,LTCUSDT,4h,triple_barrier,-0.12515613625017785,,-0.14827824822309332,0.4430379746835443,24.83348085749003
