signal,lookback_d,skip_d,top_frac,weighting,rebal_d,sharpe,sortino,mc_p5,max_dd,months_in_profit,ann_turnover,cost_drag,n_obs
raw,30,2,0.1,volinv,21,-0.4572797957666983,-0.585349428952423,,-0.514200700159254,0.45,38.104663915746634,0.02722013723240604,10801
raw,30,2,0.2,equal,5,-0.3401152144769111,-0.44469288103754395,,-0.5179076213146286,0.425,66.0552171095269,0.04718666666666667,10801
raw,30,2,0.2,equal,10,-0.25195206767754735,-0.33125918000892757,,-0.4550861358809317,0.475,45.691769280622175,0.03264,10801
raw,30,2,0.2,equal,21,-0.37695968457868745,-0.48271731823098124,,-0.5192184061501286,0.4375,29.22929358392741,0.020880000000000003,10801
raw,30,2,0.2,volinv,5,-0.336526010568767,-0.43678364758846094,,-0.5033610011448792,0.4375,83.0013984020653,0.059292202654808696,10801
raw,30,2,0.2,volinv,10,-0.2716411965123304,-0.3553721851516622,,-0.447749083616957,0.4875,53.91079351166441,0.03851127517986027,10801
raw,30,2,0.2,volinv,21,-0.32067519115016757,-0.41095134456248067,,-0.4762924309262908,0.4375,32.06145165426624,0.022903157362283707,10801
raw,30,2,0.3,equal,5,-0.3111603374091813,-0.4089280419475696,,-0.486504495223267,0.4375,56.83473752430331,0.0406,10801
raw,30,2,0.3,equal,10,-0.17812415580324667,-0.23815765181440354,,-0.40151371448224393,0.475,39.95130080548097,0.02853928571428571,10801
raw,30,2,0.3,equal,21,-0.34675689252070657,-0.4448146096728241,,-0.4735774326124962,0.4625,26.287565966114247,0.01877857142857143,10801
raw,30,2,0.3,volinv,5,-0.38452504699356127,-0.50399178998671,,-0.502883522918016,0.4375,75.00381607607514,0.05357911490989997,10801
raw,30,2,0.3,volinv,10,-0.2529008385995739,-0.33488536141447556,,-0.4199542666746122,0.45,48.481631786815534,0.03463294344771128,10801
raw,30,2,0.3,volinv,21,-0.30900826344552573,-0.3963873880486038,,-0.4385569011248657,0.45,29.666104449583717,0.021192036650790592,10801
raw,45,0,0.1,equal,5,-0.6435817088146837,-0.826237130382232,,-0.6181311677126096,0.3875,74.65975372650679,0.05333333333333333,10801
raw,45,0,0.1,equal,10,-0.612649278569553,-0.7900483716294064,,-0.5933599051508305,0.4625,49.88204795852235,0.03563333333333333,10801
raw,45,0,0.1,equal,21,-0.28984172029738275,-0.3774186306075545,,-0.4852242755349411,0.4625,31.03046014257939,0.022166666666666664,10801
raw,45,0,0.1,volinv,5,-0.6776798221039934,-0.8637079288122761,,-0.628485028023068,0.4125,87.05231839143704,0.06218598485092007,10801
raw,45,0,0.1,volinv,10,-0.6681382392993985,-0.8596912111609568,,-0.6173449060522356,0.4375,55.11243876687929,0.03936967269319201,10801
raw,45,0,0.1,volinv,21,-0.3095477512567261,-0.4010533907966288,,-0.4887125859615191,0.45,33.087694542087185,0.023636255869648386,10801
raw,45,0,0.2,equal,5,-0.5359378447313802,-0.6746626049572986,,-0.5493778980086859,0.4375,56.17213220998056,0.040126666666666665,10801
raw,45,0,0.2,equal,10,-0.5139548097576753,-0.6540705324690111,,-0.5380140244533596,0.45,38.683084899546344,0.027633333333333333,10801
raw,45,0,0.2,equal,21,-0.3332791071035078,-0.4344180134102394,,-0.5586769621974075,0.4875,24.6750486066105,0.017626666666666665,10801
raw,45,0,0.2,volinv,5,-0.5724057911229288,-0.7194529043361597,,-0.559646177665074,0.4375,73.92948534923777,0.052811664765682345,10801
raw,45,0,0.2,volinv,10,-0.5523994584870806,-0.7031924473307012,,-0.5508633248321559,0.4625,47.13960273892914,0.03367426251211466,10801
raw,45,0,0.2,volinv,21,-0.26897043533498305,-0.3468595225956071,,-0.530257301619266,0.4625,27.411700173400913,0.01958159878127667,10801
raw,45,0,0.3,equal,5,-0.6658838355577398,-0.8387728390738475,,-0.6137861751886706,0.375,48.615498564947686,0.03472857142857143,10801
raw,45,0,0.3,equal,10,-0.5226195408046063,-0.666251018810081,,-0.5269466061712491,0.4375,32.17202110915656,0.022982142857142854,10801
raw,45,0,0.3,equal,21,-0.4372282931489143,-0.5691174429517664,,-0.588344666476684,0.45,21.99796315156004,0.015714285714285715,10801
raw,45,0,0.3,volinv,5,-0.6374908419979152,-0.8068540318739623,,-0.5981122830121605,0.3875,67.83553289961027,0.04845843854819381,10801
raw,45,0,0.3,volinv,10,-0.4912328289840644,-0.6279861630912317,,-0.5200786469064319,0.3875,41.03761556600061,0.02931529667515692,10801
raw,45,0,0.3,volinv,21,-0.34192453778396475,-0.44253900535284446,,-0.5489018961830652,0.4375,25.434137551015713,0.018168923259822802,10801
raw,45,2,0.1,equal,5,-0.6096965109707702,-0.7717817421972304,,-0.6071031668095686,0.375,75.73298768632534,0.0541,10801
raw,45,2,0.1,equal,10,-0.4150254220857991,-0.5317648451468914,,-0.49764544548369594,0.4125,49.695398574206095,0.0355,10801
raw,45,2,0.1,equal,21,-0.1202611633132079,-0.15688140832852926,,-0.4567711720767913,0.5125,30.377187297472453,0.0217,10801
raw,45,2,0.1,volinv,5,-0.6342877911057627,-0.8020325221088238,,-0.6129698639444869,0.375,88.67837858556314,0.06334756396181662,10801
raw,45,2,0.1,volinv,10,-0.45716457885632067,-0.5859901317711029,,-0.5267114062986673,0.4125,54.97177497371872,0.03926918925205926,10801
raw,45,2,0.1,volinv,21,-0.1332400666998122,-0.17305468295738238,,-0.4645402026091586,0.5125,32.297660155735905,0.023071893342731714,10801
raw,45,2,0.2,equal,5,-0.480225342117936,-0.6012366401747237,,-0.5306462696708103,0.4625,55.033570965651336,0.03931333333333333,10801
raw,45,2,0.2,equal,10,-0.5312042076380968,-0.6747740143406252,,-0.5442087843151692,0.4625,38.91639662994167,0.0278,10801
raw,45,2,0.2,equal,21,-0.2680949591854713,-0.3493110335298357,,-0.4635117415065605,0.475,24.731043421905383,0.017666666666666667,10801
raw,45,2,0.2,volinv,5,-0.48035101673602576,-0.6031034921534615,,-0.5238515323200832,0.4125,72.6708539798314,0.051912559116148074,10801
raw,45,2,0.2,volinv,10,-0.5221062534233463,-0.6634871268080035,,-0.5345832051978355,0.45,47.193564112942795,0.03371280991956978,10801
raw,45,2,0.2,volinv,21,-0.2849772878152085,-0.3666320511399151,,-0.4705596054669493,0.45,27.819843267857834,0.019873156556622515,10801
raw,45,2,0.3,equal,5,-0.5312515625885228,-0.6657546713341588,,-0.5534116887958942,0.425,48.76048514026479,0.03483214285714285,10801
raw,45,2,0.3,equal,10,-0.4802518521926038,-0.6072865796834535,,-0.5256945135276518,0.4625,33.11693361725766,0.023657142857142856,10801
raw,45,2,0.3,equal,21,-0.4060627465390482,-0.5289632326967086,,-0.5345564800475848,0.475,22.02796037403944,0.015735714285714283,10801
raw,45,2,0.3,volinv,5,-0.5061756288365376,-0.6381391791522781,,-0.5317358237852101,0.4,67.34278775594164,0.04810644514232314,10801
