kind,lb,sk,tf,rb,sharpe,max_dd,turn
riskadj,120,21,0.2,10,0.20491412616873808,-0.44417085799057554,22.67999773133588
riskadj,120,21,0.2,21,0.1777598090127652,-0.3796930530546577,15.727599672435327
riskadj,180,0,0.1,10,0.26524354333786054,-0.42586880943763106,23.54082863499771
riskadj,180,0,0.1,21,0.32887625919764857,-0.30379437468793624,16.12840246749112
riskadj,180,0,0.2,10,0.24359355628467022,-0.45551800216063576,18.364725513299252
riskadj,180,0,0.2,21,0.2482334332905617,-0.3872023300112565,12.788596382563941
riskadj,180,21,0.1,10,0.3399268266203087,-0.3424666737706815,23.32697546817241
riskadj,180,21,0.1,21,0.2807809680560916,-0.29863577792152585,16.041833626733613
riskadj,180,21,0.2,10,0.2126200284891084,-0.3911435726423155,18.31508191167996
riskadj,180,21,0.2,21,0.22646152079428664,-0.3481668897431488,12.704968671241364
riskadj,252,0,0.1,10,0.3874262696668395,-0.359880023260978,19.16858124232686
riskadj,252,0,0.1,21,0.38903384413965825,-0.3141984748178077,13.336301641655023
riskadj,252,0,0.2,10,0.38969412129925163,-0.33051291228224566,15.009708696362956
riskadj,252,0,0.2,21,0.3519040382454857,-0.33254607862329977,10.617431272642703
riskadj,252,21,0.1,10,0.4076457685695184,-0.2931942899411335,19.17973766753632
riskadj,252,21,0.1,21,0.4235562983253645,-0.32402164358237306,13.283374847580248
riskadj,252,21,0.2,10,0.28793350552574964,-0.2973649494907299,15.0214666771624
riskadj,252,21,0.2,21,0.3475749388331105,-0.3048054986588338,10.576149752259655
resid,60,0,0.1,10,-0.06743637048908924,-0.5575488946365417,41.28492580363127
resid,60,0,0.1,21,0.058429404690736736,-0.43987636234504746,27.685011397083137
resid,60,0,0.2,10,-0.11595553184179809,-0.6004061184666895,32.58734281590089
resid,60,0,0.2,21,-0.01403492654544848,-0.46256273805214476,22.397805156995503
resid,60,21,0.1,10,0.3000631179257112,-0.3256924408100417,40.95091308256401
resid,60,21,0.1,21,0.3702558687876603,-0.33508958151454415,27.544706103417482
resid,60,21,0.2,10,0.16393270280920555,-0.40662746483422896,32.32351526506398
resid,60,21,0.2,21,0.3054969906377531,-0.39406095084023296,22.27188624397685
resid,120,0,0.1,10,0.011052145947879491,-0.6048484395273278,29.046731405627565
resid,120,0,0.1,21,0.2152167153797749,-0.4025548479555572,19.700274954483497
resid,120,0,0.2,10,0.05401976708925061,-0.5145759657989255,22.607983455271732
resid,120,0,0.2,21,0.16977970268523263,-0.3605916347609982,15.500493410160352
resid,120,21,0.1,10,0.349934828110256,-0.3785415073492878,28.814757824602303
resid,120,21,0.1,21,0.27223883864829124,-0.34913695854213034,19.59123190766465
resid,120,21,0.2,10,0.19983995445601943,-0.45805874223558873,22.399595727215708
resid,120,21,0.2,21,0.18753734131480054,-0.2837658937526616,15.430054143647492
resid,180,0,0.1,10,0.39689998156668377,-0.43951391161905384,23.045809878637936
resid,180,0,0.1,21,0.41882041054930635,-0.3118797061367241,15.626617422403365
resid,180,0,0.2,10,0.34448373017495626,-0.3851475522465778,17.821097510335484
resid,180,0,0.2,21,0.3658785743342708,-0.33343661006648506,12.270976457579211
resid,180,21,0.1,10,0.42551507937591837,-0.32112041689899684,22.657997522685314
resid,180,21,0.1,21,0.40575354591886137,-0.37258365801548454,15.52593812289652
resid,180,21,0.2,10,0.32412600809299114,-0.3588471984584367,17.82501011971599
resid,180,21,0.2,21,0.34087106196331945,-0.32705083255241063,12.193027889388988
resid,252,0,0.1,10,0.3686042097807974,-0.3239624727072564,18.643432423762267
resid,252,0,0.1,21,0.46704303151756377,-0.3096925937825702,12.844599584332865
resid,252,0,0.2,10,0.3750265223522642,-0.32112900783496134,14.449422152123093
resid,252,0,0.2,21,0.3860852635383064,-0.2983084299362001,10.081688917794848
resid,252,21,0.1,10,0.464428666339409,-0.28530583339444315,18.566678166930934
resid,252,21,0.1,21,0.47857382100444784,-0.2835216753707388,12.792414227260764
resid,252,21,0.2,10,0.37822849063031905,-0.2747325999340462,14.403340734073005
resid,252,21,0.2,21,0.37033046937641473,-0.31384161376689323,10.022198999929367
blend,60,0,0.1,10,-0.17367765330884796,-0.7217753602623538,40.907213115943435
blend,60,0,0.1,21,-0.040657880348948156,-0.48674758644187,27.926607404476403
blend,60,0,0.2,10,-0.1820133422365959,-0.6762060419441278,32.308790394806486
blend,60,0,0.2,21,-0.040163532297698014,-0.5012300254648118,22.488685271919383
blend,60,21,0.1,10,0.2415516481747802,-0.42406280036395916,40.57995022120286
blend,60,21,0.1,21,0.19715096277077673,-0.4222941506055079,27.79727920880111
blend,60,21,0.2,10,0.1562525972009465,-0.45099681111427914,32.09321170907831
blend,60,21,0.2,21,0.12344955060804563,-0.41948772518848565,22.38028312171226
blend,120,0,0.1,10,0.07334545173511643,-0.53828276077257,28.57411829749831
blend,120,0,0.1,21,0.226714515621329,-0.4100387056738998,19.30115149700695
blend,120,0,0.2,10,0.20909588529864395,-0.4526823483630247,21.869125037392386
blend,120,0,0.2,21,0.22019331386545626,-0.40979045073891673,15.145809244857782
blend,120,21,0.1,10,0.32232549305817687,-0.33831991622868696,28.19873042759047
blend,120,21,0.1,21,0.37337155824451196,-0.31085027279510125,19.2193935673652
blend,120,21,0.2,10,0.27204187684172787,-0.3464830638362364,21.720252979562254
blend,120,21,0.2,21,0.32669271051387655,-0.26496987911380243,15.05678800110214
blend,180,0,0.1,10,0.3169303450157231,-0.3610599498728082,22.153394454063854
blend,180,0,0.1,21,0.30628947501196746,-0.40570372820248324,15.187520121357188
blend,180,0,0.2,10,0.2798263661660664,-0.3933313970962041,17.213649279450078
blend,180,0,0.2,21,0.29398492791150616,-0.39195061797928576,11.894400770551925
blend,180,21,0.1,10,0.3551950602935217,-0.3310422116337435,22.147554588232868
blend,180,21,0.1,21,0.37466764696584537,-0.28073085230951444,15.119918369103846
blend,180,21,0.2,10,0.28721033083107306,-0.36313058820451416,17.183842861006465
blend,180,21,0.2,21,0.30021504191759874,-0.3184790405450785,11.83042535757334
blend,252,0,0.1,10,0.27187099592993336,-0.42844887140187515,18.24182487277577
blend,252,0,0.1,21,0.2617916551468354,-0.43774188500609623,12.601156937927287
blend,252,0,0.2,10,0.2706458807753007,-0.461415782200022,14.050619747300697
blend,252,0,0.2,21,0.27979773365027133,-0.41897251198200725,9.77467927450982
blend,252,21,0.1,10,0.35480003390067993,-0.35428755775485155,18.310593197791498
blend,252,21,0.1,21,0.3680131469082686,-0.28675992025415387,12.523848617160612
blend,252,21,0.2,10,0.2878362715959485,-0.34117066580321986,14.032536658343592
blend,252,21,0.2,21,0.29416002611513276,-0.341786509582217,9.728629880199932
