kind,lb,sk,tf,rb,sharpe,max_dd,turn
resid,60,0,0.2,21,-0.04247674138670591,-0.42484700450946045,23.00029482164623
resid,60,21,0.1,10,-0.05637469301203115,-0.4163631133838902,41.480098839783466
resid,60,21,0.1,21,-0.05871136501084162,-0.4157990651721397,27.996175080463797
resid,60,21,0.2,10,0.1005975555200865,-0.34031647323232794,32.913297919369576
resid,60,21,0.2,21,0.0311243992588922,-0.3927568292741731,22.83888400703411
resid,120,0,0.1,10,-0.06789704835435546,-0.4815335603142654,29.531932095907596
resid,120,0,0.1,21,0.04784915804761277,-0.39588322692757805,20.19130647761089
resid,120,0,0.2,10,0.01518418891009364,-0.46179634888342747,23.258119170126356
resid,120,0,0.2,21,0.1015367570030691,-0.39104114061572803,16.11534719367773
resid,120,21,0.1,10,0.03131865536999775,-0.40127789338420394,29.56037884982592
resid,120,21,0.1,21,0.26814340549407406,-0.34486643994070454,19.991878539491406
resid,120,21,0.2,10,0.11223699177086942,-0.3884711494813631,23.14602218700611
resid,120,21,0.2,21,0.18061507204911006,-0.47804531365257663,16.060565578371833
resid,180,0,0.1,10,0.15411489951808724,-0.4251517889535894,23.36737387411165
resid,180,0,0.1,21,0.21636308119845143,-0.37541217576379926,16.192481404644486
resid,180,0,0.2,10,0.07224064747895974,-0.5396951561404123,18.578841134550824
resid,180,0,0.2,21,0.12047355181541657,-0.46939875327127767,13.084886486733597
resid,180,21,0.1,10,0.39221417517969875,-0.27269593774481393,23.39094190634695
resid,180,21,0.1,21,0.22860923479553688,-0.3516146613759118,16.084545338255953
resid,180,21,0.2,10,0.16993390656915214,-0.45780884931389754,18.522035947132007
resid,180,21,0.2,21,0.2300268838000125,-0.3921111385951307,12.976687156261601
resid,252,0,0.1,10,0.013273300917443451,-0.45676095043790665,19.098948770918263
resid,252,0,0.1,21,-0.02489055811803244,-0.45575351021956545,13.207737576495727
resid,252,0,0.2,10,0.06000729042402798,-0.4157906241458077,15.354311360782777
resid,252,0,0.2,21,0.07131543390481018,-0.376396604238302,10.7450891678436
resid,252,21,0.1,10,0.08156482069440821,-0.3123882600633773,18.999412428821998
resid,252,21,0.1,21,-0.0023848387873870885,-0.4377683210914699,13.135026050775483
resid,252,21,0.2,10,0.11250760643382395,-0.30209260178318686,15.359068065531028
resid,252,21,0.2,21,0.05043931967892418,-0.4203401957858801,10.721410825658111
blend,60,0,0.1,10,-0.13440834464329882,-0.5899713919944352,41.16834933775177
blend,60,0,0.1,21,-0.1387841374519101,-0.5344138989906422,28.269041151903064
blend,60,0,0.2,10,-0.17071801165974296,-0.6321865970458405,33.08725797744203
blend,60,0,0.2,21,-0.10773673917172628,-0.4880700628878002,23.26416570260175
blend,60,21,0.1,10,-0.08798475390458844,-0.4413316474441207,41.09883077539437
blend,60,21,0.1,21,-0.13690960827822074,-0.4594334654611446,28.034046894327275
blend,60,21,0.2,10,-0.024832859203232208,-0.4338034891322915,32.86949527637269
blend,60,21,0.2,21,0.002814412098671261,-0.45120486564730433,23.10377388170603
blend,120,0,0.1,10,-0.05700203365003997,-0.4171315505904999,29.10285203596002
blend,120,0,0.1,21,0.018989798045575067,-0.3757241878599552,19.9203386512037
blend,120,0,0.2,10,0.024532443823183123,-0.39633169804635127,22.77854882349988
blend,120,0,0.2,21,0.13009251872023211,-0.30925759785542095,15.968156221804561
blend,120,21,0.1,10,0.18335876824341438,-0.3323236459931721,28.84742297898762
blend,120,21,0.1,21,0.1895927330159905,-0.3127915296319208,19.82682289621759
blend,120,21,0.2,10,0.2910768085220364,-0.29634725808407203,22.630508318736638
blend,120,21,0.2,21,0.19295584455200937,-0.3660715208723374,15.888148134825082
blend,180,0,0.1,10,0.07456337338472355,-0.39933253127636026,23.307668472068553
blend,180,0,0.1,21,0.10213327746251906,-0.42653606161466195,16.032465093989874
blend,180,0,0.2,10,0.07064893577543449,-0.46231845231208735,18.437340144513094
blend,180,0,0.2,21,0.11167776428535536,-0.41157822168237546,13.040126155140499
blend,180,21,0.1,10,0.19676045015034765,-0.3008038328561482,22.978451781653327
blend,180,21,0.1,21,0.17203613269327075,-0.3143905180204528,16.031008717273885
blend,180,21,0.2,10,0.15558500818776008,-0.3974600794690336,18.4242354102691
blend,180,21,0.2,21,0.08977780057957944,-0.4150561479265552,12.967656032324017
blend,252,0,0.1,10,-0.14805482091377092,-0.5372134584196366,19.5562918802134
