date,underlying,T_days,iv_full,iv_trunc,var_full,var_trunc,wing_var,wing_frac
2013-01-11,QQQ,28,0.15079263349872607,0.14726233896860208,0.02273841831748112,0.02168619647850346,0.0010522218389776607,0.046275067345766994
2013-01-11,IWM,28,0.1606975245720774,0.15579187163537264,0.025823694403593413,0.024271107267652428,0.0015525871359409853,0.0601225801264493
2013-01-11,GLD,28,0.12566984083578797,0.12361596128183787,0.01579290889569228,0.015280905883632838,0.0005120030120594407,0.03241980406783048
2013-01-11,TLT,36,0.12523052482898134,0.11159356964819656,0.015682684348942114,0.012453124786826896,0.003229559562115217,0.20593155420698558
2013-01-14,SPY,33,0.13653931031699287,0.13575590259774084,0.018642983261840076,0.018429665090127296,0.00021331817171277995,0.011442276631198633
2013-01-14,QQQ,33,0.1564442070915129,0.1503502603204381,0.024474789932492177,0.0226052007784235,0.0018695891540686758,0.07638836366830881
2013-01-14,IWM,33,0.1730294075900613,0.17108569554659928,0.029939175890967562,0.02927031522066366,0.000668860670303903,0.022340650682562493
2013-01-14,GLD,33,0.1351749497803902,0.1339104684186039,0.018272267048131015,0.017932013552089916,0.00034025349604109925,0.01862130709587578
2013-01-14,TLT,33,0.1227193231836894,0.10649316448680325,0.015060032282662806,0.011340794082413333,0.003719238200249473,0.24696083849243014
2013-01-15,SPY,32,0.133811620705264,0.13320360788129793,0.01790554983576944,0.017743201152594576,0.00016234868317486356,0.009066947659464995
