sleeve,kind,tf,family,sharpe,mc_p5,mc_p50,max_dd,months_in_profit,turnover,placebo_sharpe,screened,wf_oos,accepted
OPUSDT_5m_carry,crypto,5m,carry,-0.927225249829142,,,-0.3841263009873396,0.32,682.714173234012,-18.514111417056466,False,,False
OPUSDT_5m_mean_reversion,crypto,5m,mean_reversion,-19.783683965694316,,,-0.9998213830947533,0.0,12008.454087248312,-35.725893097962015,False,,False
OPUSDT_5m_breakout,crypto,5m,breakout,-13.498059219890123,,,-0.9831840078209285,0.0,4875.341671776104,-25.52360176768203,False,,False
1000FLOKIUSDT_5m_trend,crypto,5m,trend,-2.604173338993803,,,-0.7866129528489717,0.20512820512820512,1334.331747941143,-32.108902951002804,False,,False
1000FLOKIUSDT_5m_carry,crypto,5m,carry,-1.1221460288181682,,,-0.30094855512149865,0.41025641025641024,499.8172321421923,-16.96797094435781,False,,False
1000FLOKIUSDT_5m_mean_reversion,crypto,5m,mean_reversion,-21.478331364327172,,,-0.9998251835996964,0.0,9347.955226476271,-30.41019209738297,False,,False
1000FLOKIUSDT_5m_breakout,crypto,5m,breakout,-14.18900866509294,,,-0.9774631016414351,0.0,3741.0163743419293,-24.279165758391784,False,,False
ENSUSDT_5m_trend,crypto,5m,trend,-3.0090312061272764,,,-0.9152485609856684,0.21052631578947367,2062.7968445505608,-33.247610474717845,False,,False
ENSUSDT_5m_carry,crypto,5m,carry,-0.5745335774023628,,,-0.31793218807957724,0.42105263157894735,678.8970657031048,-14.655837275325952,False,-2.0135039284696803,False
ENSUSDT_5m_mean_reversion,crypto,5m,mean_reversion,-21.50152385432789,,,-0.9999971813111072,0.0,14320.050255215301,-31.14846190718804,False,,False
ENSUSDT_5m_breakout,crypto,5m,breakout,-17.329057942915327,,,-0.9985100110559367,0.0,5943.6029951270675,-24.333641260342677,False,,False
COMPUSDT_5m_trend,crypto,5m,trend,-2.630808630894923,,,-0.9465084718157509,0.1891891891891892,2610.67059358971,-34.765628700697455,False,,False
COMPUSDT_5m_carry,crypto,5m,carry,-0.8173442744615875,,,-0.5142942970782285,0.44594594594594594,815.4130219955774,-14.191764442782262,False,-0.5870562617192548,False
COMPUSDT_5m_mean_reversion,crypto,5m,mean_reversion,-22.994718902236784,,,-0.999999963449644,0.013513513513513514,18337.487581386526,-31.36586677671876,False,,False
COMPUSDT_5m_breakout,crypto,5m,breakout,-13.8676843305134,,,-0.9994701719579833,0.0,7537.419326149133,-25.27509521014032,False,,False
GRTUSDT_5m_trend,crypto,5m,trend,-1.754613109186468,,,-0.8199803568843704,0.29411764705882354,2212.8669512384,-33.18159500642545,False,,False
GRTUSDT_5m_carry,crypto,5m,carry,-0.34980038913189365,,,-0.2898921021118813,0.4117647058823529,772.5963579740337,-14.609999355029903,False,-1.7670933559058686,False
GRTUSDT_5m_mean_reversion,crypto,5m,mean_reversion,-21.760742880892746,,,-0.9999995424891088,0.0,16308.147951115345,-29.584666388548552,False,,False
GRTUSDT_5m_breakout,crypto,5m,breakout,-16.080962211895834,,,-0.9991173650215708,0.0,6878.47072400313,-24.832756559046793,False,,False
IOTAUSDT_5m_trend,crypto,5m,trend,-2.6718409288493117,,,-0.9531020794390519,0.24358974358974358,2811.7257848895642,-33.41228592830006,False,,False
IOTAUSDT_5m_carry,crypto,5m,carry,-0.793087344544983,,,-0.3485635346324023,0.44871794871794873,715.760632700512,-12.902095743895478,False,,False
IOTAUSDT_5m_mean_reversion,crypto,5m,mean_reversion,-25.08295950661277,,,-0.9999999997401988,0.0,20104.52649281342,-30.16240355378496,False,,False
IOTAUSDT_5m_breakout,crypto,5m,breakout,-17.97130879747962,,,-0.9999195993524046,0.0,7854.837888942426,-25.622832787044327,False,,False
RUNEUSDT_5m_trend,crypto,5m,trend,-0.5443556781266535,,,-0.6239360485974423,0.5211267605633803,2301.374362131446,-30.138904376151455,False,-0.13536643995981,False
RUNEUSDT_5m_carry,crypto,5m,carry,-0.9279550655051575,,,-0.4218423413104604,0.36619718309859156,713.5098857526348,-13.046826804452616,False,,False
RUNEUSDT_5m_mean_reversion,crypto,5m,mean_reversion,-24.199247461293773,,,-0.9999999486053525,0.0,17044.931143707057,-27.04803632954979,False,,False
RUNEUSDT_5m_breakout,crypto,5m,breakout,-12.080640101119842,,,-0.9963767835002043,0.0,6622.905726547551,-24.606350901808426,False,,False
BTCUSDT_15m_trend,crypto,15m,trend,-0.31013043116134714,,,-0.5540287597028517,0.4810126582278481,1908.5261568134558,-27.674744623507156,False,-0.01426280884170755,False
BTCUSDT_15m_carry,crypto,15m,carry,-0.16889718675381113,,,-0.50569719020589,0.4936708860759494,1180.1770860956633,-13.210852348474486,False,0.012197350634806122,False
BTCUSDT_15m_mean_reversion,crypto,15m,mean_reversion,-11.15816858105991,,,-0.999715533508275,0.0,12754.209456336288,-20.92110149743781,False,,False
BTCUSDT_15m_breakout,crypto,15m,breakout,-6.5789620225068095,,,-0.9556352368653734,0.06329113924050633,4593.856318720995,-12.436722835026833,False,,False
