asset_class,symbol,tf,entry,sharpe,pnl_share,risk_contrib,n_obs
crypto,CRVUSDT,1h,ema,0.14,0.001087337967244182,0.004443674847733254,2160
crypto,CRVUSDT,4h,ema,0.39,0.002995735355425826,0.004439525105547349,2160
crypto,BNBUSDT,1d,ema,1.02,0.014391047637903545,0.004422480345645613,3190
crypto,CFXUSDT,1h,ema,-0.01,-3.380226802584978e-05,0.004419069842899972,1258
crypto,SOLUSDT,1h,ema,1.15,0.009599883143388718,0.004417894680761313,2147
crypto,AAVEUSDT,1h,ema,0.22,0.0017953991873049314,0.004411940801592508,2115
equity,MSFT,1d,blend,0.67,0.009946853647403175,0.00439478683782721,5328
crypto,ARBUSDT,4h,ema,-0.22,-0.0008879043970310836,0.004388284644075014,1227
crypto,APTUSDT,1h,ema,-0.24,-0.0012472609708296613,0.004378793248665255,1382
crypto,RUNEUSDT,4h,ema,0.81,0.006628484533503021,0.004364177442605303,2157
crypto,UNIUSDT,4h,ema,0.46,0.004165578295252906,0.004356422659193719,2143
crypto,XMRUSDT,1h,ema,0.2,0.001999102048829587,0.0043548245721461015,2371
crypto,IOTAUSDT,4h,ema,-0.0,-3.9025347291600534e-05,0.0042878418735279745,2984
crypto,COMPUSDT,1h,ema,-0.14,-0.0011693182950612145,0.004259151707603291,2223
crypto,ALGOUSDT,4h,ema,0.5,0.004359498171126916,0.004234454520659309,2597
crypto,INJUSDT,4h,ema,0.93,0.005194740365356939,0.004221897254700873,1445
crypto,1000FLOKIUSDT,1h,ema,0.15,0.0006411200913096223,0.004190576750164624,1183
crypto,UNIUSDT,1h,ema,-0.22,-0.001746569837426914,0.0041841606780637945,2143
crypto,GRTUSDT,4h,ema,0.43,0.0029317208947553367,0.004175043400306962,2051
crypto,COMPUSDT,4h,ema,-0.03,-0.00024562298071360833,0.004174241527145419,2223
crypto,FILUSDT,4h,ema,0.38,0.0028981693067535092,0.004168175641385113,2115
crypto,ZECUSDT,1d,ema,0.28,0.0031234039065399493,0.004162837171040242,2690
crypto,HBARUSDT,1h,ema,0.15,0.001080684278584074,0.004141944683331427,1963
crypto,ADAUSDT,1d,ema,0.53,0.005806043700572481,0.0041402264818122,3028
crypto,1000SHIBUSDT,1h,ema,0.16,0.001163031279038313,0.004125947340671965,1909
crypto,LTCUSDT,1d,ema,-0.05,-0.0006146683681317475,0.004119309625371692,3153
crypto,IMXUSDT,1h,ema,0.37,0.0022786002771941582,0.00411351068079776,1632
crypto,1000FLOKIUSDT,4h,ema,0.72,0.0030527127179810648,0.004082076133310294,1183
crypto,INJUSDT,1h,ema,0.59,0.0031460537027593774,0.004041486090299987,1445
crypto,STXUSDT,1h,ema,-0.21,-0.0009446692571988293,0.004028815589754937,1257
crypto,LDOUSDT,1h,ema,-0.55,-0.0028485862842370278,0.004020559421403762,1409
crypto,AAVEUSDT,1d,ema,0.28,0.0020792827016171706,0.004012398530637213,2115
crypto,1000PEPEUSDT,4h,ema,0.65,0.0028101974790825197,0.004007711150838874,1184
crypto,DOGEUSDT,1d,ema,0.61,0.008486820282120174,0.00398068556012036,2584
equity,GOOGL,1d,blend,0.51,0.007132376566055425,0.003971866626707008,5328
crypto,XTZUSDT,1d,ema,-0.01,-9.533294258922122e-05,0.003964390736497655,2503
crypto,LDOUSDT,4h,ema,-0.49,-0.002451794943872314,0.003948281163487114,1409
crypto,FETUSDT,1h,ema,0.47,0.002109752238290074,0.0039132420058941774,1292
crypto,ATOMUSDT,1d,ema,0.09,0.0008918723195595968,0.003909555814922665,2651
crypto,VETUSDT,1d,ema,0.47,0.004731036029878594,0.003860621281206671,2929
crypto,ICPUSDT,1h,ema,0.12,0.0008164912629916602,0.003859655395609267,1908
crypto,ETCUSDT,1d,ema,0.09,0.000825209293214504,0.003850483662651775,2972
crypto,CFXUSDT,4h,ema,-0.13,-0.0006380995737097245,0.0038403157480130633,1258
crypto,SOLUSDT,1d,ema,0.99,0.008165312177795883,0.0038363024263665894,2147
