asset_class,symbol,tf,group,spec,entry,direction,exit,gate,sharpe,sortino,max_dd,months_in_profit,ann_turnover,total_return,n_obs
crypto,BTCUSDT,1h,entry,donchian|lookback55|reversal|ls,donchian,ls,reversal,-,0.087,0.138,-0.4107,0.519,83.1,-0.003,2404
crypto,BTCUSDT,1h,entry,blend|ls,blend,ls,-,-,0.47,0.972,-0.1263,0.494,67.2,0.3041,2404
crypto,BTCUSDT,1h,entry,strength|ls,strength,ls,-,-,-0.219,-0.441,-0.3316,0.468,227.3,-0.1949,2404
crypto,BTCUSDT,1h,direction,"ema|fast50,slow200|reversal|long_only",ema,long_only,reversal,-,0.539,0.685,-0.2515,0.443,33.9,0.4978,2404
crypto,BTCUSDT,1h,direction,"ema|fast50,slow200|reversal|short_only",ema,short_only,reversal,-,-0.366,-0.421,-0.4035,0.342,31.1,-0.2885,2404
crypto,BTCUSDT,1h,direction,"ema|fast50,slow200|reversal|asym",ema,asym,reversal,-,0.419,0.618,-0.2566,0.519,43.3,0.3646,2404
crypto,BTCUSDT,1h,exit,"ema|fast50,slow200|atr_trailing|ls",ema,ls,atr_trailing,-,-0.199,-0.309,-0.4566,0.481,171.4,-0.2845,2404
crypto,BTCUSDT,1h,exit,"ema|fast50,slow200|channel|ls",ema,ls,channel,-,-0.291,-0.461,-0.475,0.43,196.6,-0.3593,2404
crypto,BTCUSDT,1h,gate,"ema|fast50,slow200|g:adx|reversal|ls",ema,ls,reversal,adx,0.223,0.348,-0.2539,0.519,59.2,0.1699,2404
crypto,BTCUSDT,1h,gate,"ema|fast50,slow200|g:ltf|reversal|ls",ema,ls,reversal,ltf,0.142,0.223,-0.2747,0.532,65.1,0.0644,2404
crypto,BTCUSDT,1h,gate,"ema|fast50,slow200|g:vol|reversal|ls",ema,ls,reversal,vol,0.001,0.001,-0.4034,0.494,64.1,-0.0963,2404
crypto,BTCUSDT,1h,headline,blend|long_only,blend,long_only,-,-,0.773,1.209,-0.1124,0.443,34.8,0.4094,2404
crypto,BTCUSDT,1h,headline,blend|asym,blend,asym,-,-,0.706,1.331,-0.1082,0.43,44.5,0.3806,2404
crypto,BTCUSDT,15m,entry,"ema|fast20,slow100|reversal|ls",ema,ls,reversal,-,-0.706,-1.171,-0.6994,0.468,525.4,-0.6115,2404
crypto,BTCUSDT,15m,entry,"ema|fast50,slow200|reversal|ls",ema,ls,reversal,-,-0.289,-0.464,-0.5465,0.481,289.8,-0.3664,2404
crypto,BTCUSDT,15m,entry,"ema|fast100,slow300|reversal|ls",ema,ls,reversal,-,-0.022,-0.036,-0.4382,0.506,215.6,-0.1223,2404
crypto,BTCUSDT,15m,entry,"sma|fast50,slow200|reversal|ls",sma,ls,reversal,-,-0.12,-0.2,-0.4792,0.481,302.5,-0.2176,2404
crypto,BTCUSDT,15m,entry,tsmom|lookback30|reversal|ls,tsmom,ls,reversal,-,-7.944,-11.924,-1.0,0.013,2774.6,-1.0,2404
crypto,BTCUSDT,15m,entry,tsmom|lookback90|reversal|ls,tsmom,ls,reversal,-,-3.973,-6.095,-0.9952,0.165,1714.6,-0.9949,2404
crypto,BTCUSDT,15m,entry,"macd|fast12,slow26|reversal|ls",macd,ls,reversal,-,-7.059,-10.507,-0.9999,0.013,2252.5,-0.9998,2404
crypto,BTCUSDT,15m,entry,donchian|lookback55|reversal|ls,donchian,ls,reversal,-,-1.007,-1.678,-0.7456,0.38,370.5,-0.7352,2404
crypto,BTCUSDT,15m,entry,blend|ls,blend,ls,-,-,-0.785,-2.16,-0.475,0.38,296.1,-0.3816,2404
