asset_class,symbol,tf,entry,sharpe,pnl_share,risk_contrib,n_obs
crypto,ZECUSDT,4h,ema,0.59,0.011263642398265784,0.006694060593891367,2690
crypto,CRVUSDT,4h,ema,0.39,0.005217995792467876,0.006681147304928897,2160
crypto,ATOMUSDT,4h,ema,0.25,0.004342172518778788,0.006681042092345201,2651
crypto,AVAXUSDT,1h,ema,0.34,0.004747984561985938,0.006651628652137998,2138
crypto,XLMUSDT,1h,ema,0.28,0.004582115096929213,0.0066246003565345185,2385
crypto,XMRUSDT,4h,ema,0.13,0.002742642479052293,0.006590644500388658,2696
crypto,AAVEUSDT,4h,ema,0.19,0.0025951086975940832,0.0065457019877486035,2115
crypto,ALGOUSDT,1h,ema,0.11,0.0015845165163186098,0.0065224034644928075,2237
crypto,ARBUSDT,4h,ema,0.06,0.00044519699504353793,0.00647236447185881,1227
crypto,IOTAUSDT,4h,ema,0.02,0.0004532240071216345,0.006427080100914406,2984
crypto,ALGOUSDT,4h,ema,0.61,0.009395091394709744,0.006411844981516586,2597
crypto,XMRUSDT,1d,ema,-0.17,-0.003928492787886509,0.006400458017631349,2696
crypto,OPUSDT,1h,ema,-0.11,-0.00111699368421186,0.006320597137118146,1522
crypto,RUNEUSDT,4h,ema,0.83,0.011815978217472236,0.006312052128140152,2157
crypto,FILUSDT,1h,ema,-0.02,-0.0003184525735931485,0.006245692822392884,2115
crypto,COMPUSDT,4h,ema,-0.04,-0.000514611481169349,0.006196701632457918,2223
crypto,DOGEUSDT,1h,ema,1.08,0.016292487197326497,0.006120737673417174,2213
crypto,SOLUSDT,1h,ema,1.2,0.01733791348107727,0.006100001040528578,2147
crypto,GRTUSDT,4h,ema,0.63,0.007673794224906603,0.006086809134736032,2051
crypto,RUNEUSDT,1h,ema,0.59,0.008594320379949616,0.006084210216790696,2157
crypto,ZECUSDT,1h,ema,0.6,0.010029673956621646,0.006080722174763232,2369
crypto,CRVUSDT,1h,ema,0.21,0.002894656235901313,0.00607372240807687,2160
crypto,APTUSDT,1h,ema,-0.07,-0.0006433971301926281,0.006002913032982882,1382
crypto,ADAUSDT,1d,ema,0.49,0.009420445254548623,0.0059912803823400805,3028
crypto,UNIUSDT,4h,ema,0.53,0.008289130613608664,0.0059885531967067505,2143
crypto,COMPUSDT,1h,ema,-0.08,-0.001158814019520056,0.005954585563277124,2223
crypto,AAVEUSDT,1h,ema,0.13,0.0019394703918658998,0.005930262736745157,2115
crypto,BNBUSDT,1d,ema,0.97,0.022919952273298648,0.005909250698098364,3190
crypto,XMRUSDT,1h,ema,-0.0,-7.598294248491222e-05,0.005900336199342704,2371
crypto,1000SHIBUSDT,1h,ema,0.23,0.0030149113123568213,0.005803871711528714,1909
crypto,FILUSDT,4h,ema,0.53,0.007292483254583369,0.005792326280676883,2115
crypto,DOGEUSDT,1d,ema,0.49,0.011727467333708634,0.005731995317384138,2584
crypto,HBARUSDT,1h,ema,0.25,0.0032419674334469243,0.0057226284564650814,1963
crypto,1000FLOKIUSDT,4h,ema,0.69,0.005136858932560492,0.005689512622893311,1183
crypto,CFXUSDT,1h,ema,0.08,0.0007549148013339649,0.005678096291273026,1258
crypto,1000FLOKIUSDT,1h,ema,0.13,0.0010168176834375348,0.0056440227897241475,1183
crypto,UNIUSDT,1h,ema,-0.31,-0.004376753673397507,0.0055935453829297705,2143
crypto,CFXUSDT,4h,ema,-0.09,-0.0007612335911879906,0.005573734361327638,1258
crypto,1000PEPEUSDT,4h,ema,0.57,0.004363623067999956,0.0055071914140645386,1184
crypto,1000PEPEUSDT,1h,ema,1.18,0.009574963209840132,0.00550427441192968,1184
crypto,ATOMUSDT,1d,ema,0.04,0.0007098803641405927,0.005451896275938913,2651
crypto,VETUSDT,1d,ema,0.43,0.007537860646084128,0.005449306303104987,2929
crypto,IMXUSDT,1h,ema,0.55,0.005892003233805411,0.005434087001981257,1632
crypto,LTCUSDT,1d,ema,-0.13,-0.0026475082709795927,0.005431538714821932,3153
crypto,XTZUSDT,1d,ema,-0.03,-0.0004649584997826719,0.005431307819345611,2503
crypto,AAVEUSDT,1d,ema,0.24,0.0031740252273527014,0.005427700379564094,2115
crypto,ETCUSDT,1d,ema,-0.05,-0.0009508657861185699,0.005399328622967712,2972
crypto,LDOUSDT,4h,ema,-0.68,-0.005956000526587955,0.00537255943856282,1409
crypto,APTUSDT,4h,ema,-0.03,-0.00023925346928198535,0.005345576104138073,1382
crypto,STXUSDT,1h,ema,-0.14,-0.0011446424191648601,0.005266499198622221,1257
crypto,INJUSDT,4h,ema,0.77,0.0075049067081028945,0.005234435240992426,1445
crypto,INJUSDT,1h,ema,0.4,0.0037697958428936657,0.005170639029616208,1445
crypto,ICPUSDT,1h,ema,0.36,0.004199334197316789,0.005136045780410932,1908
crypto,JASMYUSDT,1h,ema,0.56,0.0055243417505674,0.00513152484638614,1564
crypto,1000FLOKIUSDT,1d,ema,0.46,0.00350985643833763,0.005113120341667124,1183
crypto,IMXUSDT,4h,ema,0.19,0.0018172204481176665,0.005097537827427566,1632
crypto,LDOUSDT,1h,ema,-0.72,-0.006470637960616475,0.005075223569172012,1409
crypto,JASMYUSDT,4h,ema,0.91,0.008910640302513293,0.005062196590659672,1564
crypto,ENSUSDT,1h,ema,-0.2,-0.002213299214392228,0.005023675368563372,1705
crypto,ZECUSDT,1d,ema,0.06,0.0012078109014194618,0.005015312243363159,2690
crypto,1000SHIBUSDT,4h,ema,0.69,0.00897788185390293,0.005012968168927607,1909
crypto,DOTUSDT,1d,ema,0.41,0.005114902256063266,0.005001721881539847,2170
crypto,OPUSDT,4h,ema,0.32,0.003129072079683848,0.004928493939000298,1522
crypto,FETUSDT,1h,ema,0.6,0.004748330364932181,0.004907483936786403,1292
